round,race,strategy,driver,grid,side,price,won,pnl,bankroll
1,Australia,S18,VER,3,NO,0.3009,1,4.0,104.0
2,China,S18,NOR,3,NO,0.3333,1,4.65,108.65
3,Japan,S03,PIA,3,NO,0.69,0,-10.0,98.65
3,Japan,S03,RUS,5,NO,0.4431,1,7.4,106.05
3,Japan,S18,NOR,2,NO,0.4221,1,6.79,112.84
3,Japan,S18,PIA,3,NO,0.2144,1,2.54,115.38
4,Bahrain,S01,ANT,4,YES,0.18,0,-10.0,105.38
4,Bahrain,S03,NOR,6,NO,0.6025,0,-10.0,95.38
4,Bahrain,S03,VER,7,NO,0.2471,1,3.05,98.43
5,Saudi Arabia,S01,LEC,4,YES,0.1611,1,48.43,146.86
5,Saudi Arabia,S03,NOR,10,NO,0.395,1,6.07,152.93
5,Saudi Arabia,S18,PIA,2,NO,0.4596,0,-10.0,142.93
6,Miami,S03,PIA,4,NO,0.702,0,-10.0,132.93
6,Miami,S01,ANT,3,YES,0.3731,0,-10.0,122.93
6,Miami,S18,NOR,2,NO,0.3656,1,5.36,128.29
7,Emilia Romagna,S03,NOR,4,NO,0.69,0,-10.0,118.29
8,Monaco,S03,VER,5,NO,0.52,1,10.08,128.37
8,Monaco,S03,PIA,3,NO,0.7391,0,-10.0,118.37
9,Spain,S03,VER,3,NO,0.73,1,25.14,143.51
10,Canada,S03,LEC,8,NO,0.195,1,2.25,145.77
10,Canada,S03,NOR,7,NO,0.6573,1,17.84,163.6
10,Canada,S03,PIA,3,NO,0.8055,1,38.51,202.12
10,Canada,S01,ANT,4,YES,0.1536,1,51.25,253.37
10,Canada,S01,RUS,1,YES,0.625,1,5.58,258.95
10,Canada,S18,VER,2,NO,0.4018,1,6.25,265.19
10,Canada,S18,PIA,3,NO,0.3833,1,5.78,270.97
11,Austria,S03,PIA,3,NO,0.768,0,-10.0,260.97
11,Austria,S03,VER,7,NO,0.404,1,6.3,267.28
12,Great Britain,S03,NOR,3,NO,0.7091,0,-10.0,257.28
12,Great Britain,S01,RUS,4,YES,0.1767,0,-10.0,247.28
12,Great Britain,S18,PIA,2,NO,0.3182,1,4.34,251.62
13,Belgium,S01,LEC,3,YES,0.3678,1,15.99,267.6
13,Belgium,S03,VER,4,NO,0.663,1,18.3,285.9
13,Belgium,S18,PIA,2,NO,0.3781,0,-10.0,275.9
14,Hungary,S18,NOR,3,NO,0.2899,0,-10.0,265.9
14,Hungary,S18,PIA,2,NO,0.4901,1,8.94,274.84
14,Hungary,S03,NOR,3,NO,0.8478,0,-10.0,264.84
14,Hungary,S03,PIA,2,NO,0.8694,0,-10.0,254.84
15,Netherlands,S03,NOR,2,NO,0.8796,1,67.94,322.78
15,Netherlands,S01,HAD,4,YES,0.0971,1,86.48,409.26
15,Netherlands,S18,NOR,2,NO,0.335,1,4.68,413.94
15,Netherlands,S03,VER,3,NO,0.6885,0,-10.0,403.94
16,Italy,S18,PIA,3,NO,0.2668,1,3.38,407.33
16,Italy,S03,PIA,3,NO,0.7824,0,-10.0,397.33
16,Italy,S18,NOR,2,NO,0.3893,1,5.93,403.26
17,Azerbaijan,S01,SAI,2,YES,0.1653,1,46.96,450.22
17,Azerbaijan,S03,NOR,7,NO,0.6623,1,18.24,468.46
17,Azerbaijan,S01,LAW,3,YES,0.1,0,-10.0,458.46
17,Azerbaijan,S03,PIA,9,NO,0.5657,1,12.11,470.57
18,Singapore,S03,PIA,3,NO,0.6948,1,21.17,491.74
18,Singapore,S01,ANT,4,YES,0.1931,0,-10.0,481.74
18,Singapore,S03,NOR,5,NO,0.4322,0,-10.0,471.74
18,Singapore,S18,VER,2,NO,0.447,1,7.52,479.26
19,United States,S03,RUS,4,NO,0.5083,1,9.61,488.87
19,United States,S03,PIA,6,NO,0.4361,1,7.19,496.07
20,Mexico,S03,VER,5,NO,0.5901,0,-10.0,486.07
21,São Paulo,S03,PIA,4,NO,0.6917,1,20.87,506.93
21,São Paulo,S01,ANT,2,YES,0.5414,1,7.88,514.81
22,Las Vegas,S01,SAI,3,YES,0.1989,0,-10.0,504.81
22,Las Vegas,S03,VER,2,NO,0.8725,0,-10.0,494.81
22,Las Vegas,S03,LEC,9,NO,0.2038,1,2.38,497.19
22,Las Vegas,S03,RUS,4,NO,0.7569,0,-10.0,487.19
22,Las Vegas,S18,VER,2,NO,0.7105,0,-10.0,477.19
23,Qatar,S03,VER,3,NO,0.7361,0,-10.0,467.19
24,Abu Dhabi,S03,PIA,3,NO,0.7122,0,-10.0,457.19
