event,event_name,market,driver,grid_pos,direction,entry_price,base_rate,edge,kelly,position_pct,stake,contracts,outcome,finish_pos,event_happened,gross_pnl,net_pnl,bankroll_after
AGP25,Australian Grand Prix,RACE,VER,3,BUY_NO,0.6841,0.1132,0.2027,0.6417,0.15,15.0,21.93,WIN,2,False,6.89,6.44,106.44
AGP25,Australian Grand Prix,RACE,NOR,1,BUY_NO,0.5876,0.25,0.1624,0.3938,0.0984,10.48,17.83,LOSS,1,True,-10.48,-10.48,95.96
AGP25,Australian Grand Prix,RACE,TSU,5,BUY_YES,0.0297,0.0833,0.0536,0.0552,0.0138,1.33,44.62,LOSS,12,False,-1.33,-1.33,94.64
CGP25,Chinese Grand Prix,RACE,PIA,1,BUY_NO,0.5962,0.25,0.1538,0.3809,0.0952,9.01,15.11,LOSS,1,True,-9.01,-9.01,85.63
CGP25,Chinese Grand Prix,RACE,NOR,3,BUY_NO,0.6077,0.1132,0.2791,0.7114,0.15,12.84,21.14,WIN,2,False,8.25,7.71,93.34
CGP25,Chinese Grand Prix,RACE,RUS,2,BUY_YES,0.0929,0.2364,0.1435,0.1582,0.0395,3.69,39.74,LOSS,3,False,-3.69,-3.69,89.65
JGP25,Japanese Grand Prix,RACE,LEC,4,BUY_YES,0.0453,0.1111,0.0658,0.0689,0.0172,1.54,34.1,LOSS,4,False,-1.54,-1.54,88.1
JGP25,Japanese Grand Prix,RACE,VER,1,BUY_NO,0.6764,0.25,0.0736,0.2274,0.0569,5.01,7.41,LOSS,1,True,-5.01,-5.01,83.09
JGP25,Japanese Grand Prix,RACE,PIA,3,BUY_NO,0.7844,0.1132,0.1024,0.475,0.1187,9.87,12.58,WIN,3,False,2.7,2.52,85.61
JGP25,Japanese Grand Prix,RACE,NOR,2,BUY_NO,0.581,0.2364,0.1826,0.4358,0.1089,9.33,16.05,WIN,2,False,6.69,6.26,91.87
JGP25,Japanese Grand Prix,RACEPODIUM,RUS,5,BUY_NO,0.5766,0.2037,0.2197,0.5189,0.1297,11.92,20.67,WIN,5,False,8.71,8.14,100.01
JGP25,Japanese Grand Prix,RACEPODIUM,NOR,2,BUY_NO,0.2032,0.5455,0.2513,0.3154,0.0788,7.89,38.81,LOSS,2,True,-7.89,-7.89,92.12
JGP25,Japanese Grand Prix,RACEPODIUM,VER,1,BUY_NO,0.2514,0.6481,0.1005,0.1343,0.0336,3.09,12.3,LOSS,1,True,-3.09,-3.09,89.03
JGP25,Japanese Grand Prix,RACEPODIUM,PIA,3,BUY_NO,0.3224,0.4057,0.2719,0.4013,0.1003,8.93,27.7,LOSS,3,True,-8.93,-8.93,80.1
BGP25,Bahrain Grand Prix,RACE,GAS,5,BUY_YES,0.02,0.0833,0.0633,0.0646,0.0161,1.29,64.67,LOSS,7,False,-1.29,-1.29,78.81
BGP25,Bahrain Grand Prix,RACE,PIA,1,BUY_NO,0.282,0.25,0.468,0.6518,0.15,11.82,41.92,LOSS,1,True,-11.82,-11.82,66.99
BGP25,Bahrain Grand Prix,RACE,ANT,4,BUY_YES,0.0217,0.1111,0.0894,0.0914,0.0228,1.53,70.52,LOSS,11,False,-1.53,-1.53,65.45
BGP25,Bahrain Grand Prix,RACE,RUS,2,BUY_YES,0.1202,0.2364,0.1162,0.1321,0.033,2.16,17.98,LOSS,2,False,-2.16,-2.16,63.29
BGP25,Bahrain Grand Prix,RACE,NOR,6,BUY_NO,0.8388,0.0849,0.0763,0.4733,0.1183,7.49,8.93,WIN,3,False,1.43,1.34,64.63
BGP25,Bahrain Grand Prix,RACEPODIUM,RUS,2,BUY_NO,0.3899,0.5455,0.0646,0.1059,0.0265,1.71,4.39,LOSS,2,True,-1.71,-1.71,62.92
BGP25,Bahrain Grand Prix,RACEPODIUM,PIA,1,BUY_NO,0.1111,0.6481,0.2408,0.2709,0.0677,4.26,38.36,LOSS,1,True,-4.26,-4.26,58.66
BGP25,Bahrain Grand Prix,RACEPODIUM,NOR,6,BUY_NO,0.4107,0.2358,0.3535,0.5999,0.15,8.8,21.42,LOSS,3,True,-8.8,-8.8,49.86
BGP25,Bahrain Grand Prix,RACEPODIUM,GAS,5,BUY_YES,0.0673,0.2037,0.1364,0.1462,0.0366,1.82,27.09,LOSS,7,False,-1.82,-1.82,48.04
BGP25,Bahrain Grand Prix,RACEPODIUM,ANT,4,BUY_YES,0.1808,0.3704,0.1896,0.2314,0.0579,2.78,15.37,LOSS,11,False,-2.78,-2.78,45.26
SAGP25,Saudi Arabian Grand Prix,RACE,VER,1,BUY_NO,0.5586,0.25,0.1914,0.4336,0.1084,4.91,8.78,WIN,2,False,3.86,3.61,48.87
SAGP25,Saudi Arabian Grand Prix,RACE,PIA,2,BUY_NO,0.5218,0.2364,0.2418,0.5056,0.1264,6.18,11.84,LOSS,1,True,-6.18,-6.18,42.69
SAGP25,Saudi Arabian Grand Prix,RACEPODIUM,VER,1,BUY_NO,0.2718,0.6481,0.0801,0.11,0.0275,1.17,4.32,LOSS,2,True,-1.17,-1.17,41.51
SAGP25,Saudi Arabian Grand Prix,RACEPODIUM,SAI,6,BUY_YES,0.0262,0.2358,0.2096,0.2152,0.0538,2.23,85.26,LOSS,8,False,-2.23,-2.23,39.28
SAGP25,Saudi Arabian Grand Prix,RACEPODIUM,PIA,2,BUY_NO,0.2057,0.5455,0.2488,0.3132,0.0783,3.08,14.95,LOSS,1,True,-3.08,-3.08,36.2
SAGP25,Saudi Arabian Grand Prix,RACEPODIUM,LEC,4,BUY_YES,0.1535,0.3704,0.2169,0.2562,0.0641,2.32,15.11,WIN,3,True,12.73,11.89,48.1
SAGP25,Saudi Arabian Grand Prix,RACEPODIUM,ANT,5,BUY_YES,0.0425,0.2037,0.1612,0.1684,0.0421,2.02,47.63,LOSS,6,False,-2.02,-2.02,46.07
SAGP25,Saudi Arabian Grand Prix,RACEPODIUM,RUS,3,BUY_NO,0.4911,0.4057,0.1032,0.2028,0.0507,2.34,4.76,WIN,5,False,2.41,2.25,48.33
MGP25,Miami Grand Prix,RACE,VER,1,BUY_NO,0.614,0.25,0.136,0.3523,0.0881,4.26,6.93,WIN,4,False,2.66,2.49,50.81
MGP25,Miami Grand Prix,RACE,PIA,4,BUY_NO,0.8168,0.1111,0.0721,0.3936,0.0984,5.0,6.12,LOSS,1,True,-5.0,-5.0,45.82
MGP25,Miami Grand Prix,RACE,NOR,2,BUY_NO,0.6327,0.2364,0.1309,0.3564,0.0891,4.08,6.45,WIN,2,False,2.36,2.2,48.02
