round,event_code,race_name,market_type,driver,grid_pos,finish_pos,outcome,yes_vwap,no_vwap,volume,n_trades,qual_end_utc,race_start_utc
1,AGP25,Australia,RACE,NOR,1,1,1,0.4124,0.5876,3895.0,58,2025-03-15T06:20:00+00:00,2025-03-16T04:00:00+00:00
1,AGP25,Australia,RACE,VER,3,2,0,0.3159,0.6841,3999.0,115,2025-03-15T06:20:00+00:00,2025-03-16T04:00:00+00:00
1,AGP25,Australia,RACE,SAI,10,18,0,0.0454,0.9546,690.0,14,2025-03-15T06:20:00+00:00,2025-03-16T04:00:00+00:00
1,AGP25,Australia,RACE,TSU,5,12,0,0.0297,0.9703,313.0,5,2025-03-15T06:20:00+00:00,2025-03-16T04:00:00+00:00
1,AGP25,Australia,RACE,HAM,8,10,0,0.0695,0.9305,2705.0,21,2025-03-15T06:20:00+00:00,2025-03-16T04:00:00+00:00
1,AGP25,Australia,RACE,LEC,7,8,0,0.0636,0.9364,1335.0,19,2025-03-15T06:20:00+00:00,2025-03-16T04:00:00+00:00
1,AGP25,Australia,RACE,RUS,4,3,0,0.0746,0.9254,353.0,9,2025-03-15T06:20:00+00:00,2025-03-16T04:00:00+00:00
1,AGP25,Australia,RACE,PIA,2,9,0,0.2229,0.7771,1328.0,24,2025-03-15T06:20:00+00:00,2025-03-16T04:00:00+00:00
2,CGP25,China,RACE,VER,4,4,0,0.113,0.887,3918.0,50,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00
2,CGP25,China,RACE,PIA,1,1,1,0.4038,0.5962,24981.0,692,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00
2,CGP25,China,RACE,RUS,2,3,0,0.0929,0.9071,1068.0,27,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00
2,CGP25,China,RACE,NOR,3,2,0,0.3923,0.6077,6803.0,177,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00
2,CGP25,China,RACE,HAM,5,19,0,0.0971,0.9029,1905.0,30,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00
2,CGP25,China,RACE,LEC,6,18,0,0.0602,0.9398,228.0,11,2025-03-22T08:20:00+00:00,2025-03-23T07:00:00+00:00
3,JGP25,Japan,RACE,VER,1,1,1,0.3236,0.6764,9211.0,87,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
3,JGP25,Japan,RACE,RUS,5,5,0,0.052,0.948,2383.0,9,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
3,JGP25,Japan,RACE,NOR,2,2,0,0.419,0.581,3221.0,47,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
3,JGP25,Japan,RACE,PIA,3,3,0,0.2156,0.7844,605.0,18,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
3,JGP25,Japan,RACE,HAM,8,7,0,0.0317,0.9683,3294.0,5,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
3,JGP25,Japan,RACE,LEC,4,4,0,0.0453,0.9547,684.0,6,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
3,JGP25,Japan,RACEPODIUM,PIA,3,3,1,0.6776,0.3224,189.0,6,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
3,JGP25,Japan,RACEPODIUM,VER,1,1,1,0.7486,0.2514,904.0,17,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
3,JGP25,Japan,RACEPODIUM,RUS,5,5,0,0.4234,0.5766,416.0,15,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
3,JGP25,Japan,RACEPODIUM,TSU,15,12,0,0.0484,0.9516,755.0,6,2025-04-05T07:20:00+00:00,2025-04-06T05:00:00+00:00
