round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
4,Bahrain,BGP25,RACEPODIUM,ANT,4,YES,0.18,0.1716,0.94,0,-0.94,99.06
5,Saudi Arabia,SAGP25,RACEPODIUM,LEC,4,YES,0.1611,0.1905,0.91,1,4.39,103.45
6,Miami,MGP25,RACEPODIUM,ANT,3,YES,0.3731,0.1581,2.43,0,-2.43,101.01
10,Canada,CAGP25,RACEPODIUM,RUS,1,YES,0.625,0.1719,7.24,1,4.04,105.05
10,Canada,CAGP25,RACEPODIUM,ANT,4,YES,0.1536,0.1979,0.91,1,4.65,109.7
12,Great Britain,BRGP25,RACEPODIUM,RUS,4,YES,0.1767,0.1749,1.03,0,-1.03,108.67
13,Belgium,BELGP25,RACEPODIUM,LEC,3,YES,0.3678,0.1634,2.58,1,4.13,112.8
15,Netherlands,DUTGP25,RACEPODIUM,HAD,4,YES,0.0971,0.2545,0.77,1,6.67,119.47
17,Azerbaijan,AZEGP25,RACEPODIUM,SAI,2,YES,0.1653,0.5456,3.23,1,15.16,134.63
17,Azerbaijan,AZEGP25,RACEPODIUM,LAW,3,YES,0.1,0.4312,1.43,0,-1.43,133.19
18,Singapore,SINGP25,RACEPODIUM,ANT,4,YES,0.1931,0.1584,1.26,0,-1.26,131.93
21,São Paulo,SAOPGP25,RACEPODIUM,ANT,2,YES,0.5414,0.1695,6.6,1,5.2,137.13
22,Las Vegas,LASVGP25,RACEPODIUM,SAI,3,YES,0.1989,0.3323,2.83,0,-2.83,134.3
