round,race,strategy,driver,grid,side,price,edge,stake,won,pnl,bankroll
1,Australia,S18_NO_WIN,VER,3,NO,0.3009,0.1837,15.0,1,6.0,106.0
2,China,S18_NO_WIN,NOR,3,NO,0.3333,0.2161,15.9,1,7.39,113.4
3,Japan,S03_NO_POD,PIA,3,NO,0.69,0.1587,6.52,0,-6.52,106.88
3,Japan,S03_NO_POD,RUS,5,NO,0.4431,0.2556,15.41,1,11.4,118.28
3,Japan,S18_NO_WIN,NOR,2,NO,0.4221,0.1877,13.15,1,8.93,127.21
3,Japan,S18_NO_WIN,PIA,3,NO,0.2144,0.0972,14.42,1,3.66,130.87
4,Bahrain,S01_YES_POD,ANT,4,YES,0.18,0.1716,6.85,0,-6.85,124.03
4,Bahrain,S03_NO_POD,NOR,6,NO,0.6025,0.4853,18.6,0,-18.6,105.42
4,Bahrain,S03_NO_POD,VER,7,NO,0.2471,0.1763,15.81,1,4.83,110.25
5,Saudi Arabia,S01_YES_POD,LEC,4,YES,0.1611,0.1905,6.26,1,30.31,140.56
5,Saudi Arabia,S03_NO_POD,NOR,10,NO,0.395,0.3478,21.08,1,12.8,153.36
5,Saudi Arabia,S18_NO_WIN,PIA,2,NO,0.4596,0.2252,18.79,0,-18.79,134.57
6,Miami,S01_YES_POD,ANT,3,YES,0.3731,0.1581,8.48,0,-8.48,126.09
6,Miami,S03_NO_POD,PIA,4,NO,0.702,0.3504,15.73,0,-15.73,110.36
6,Miami,S18_NO_WIN,NOR,2,NO,0.3656,0.1312,9.9,1,5.31,115.66
7,Emilia Romagna,S03_NO_POD,NOR,4,NO,0.69,0.3384,14.18,0,-14.18,101.48
8,Monaco,S03_NO_POD,PIA,3,NO,0.7391,0.2078,7.13,0,-7.13,94.35
8,Monaco,S03_NO_POD,VER,5,NO,0.52,0.3325,14.15,1,14.26,108.61
9,Spain,S03_NO_POD,VER,3,NO,0.73,0.1987,7.39,1,18.58,127.19
10,Canada,S01_YES_POD,RUS,1,YES,0.625,0.1719,14.58,1,8.13,135.32
10,Canada,S01_YES_POD,ANT,4,YES,0.1536,0.1979,7.91,1,40.54,175.86
10,Canada,S03_NO_POD,PIA,3,NO,0.8055,0.2742,14.97,1,57.64,233.5
10,Canada,S03_NO_POD,NOR,7,NO,0.6573,0.5864,35.03,1,62.48,295.98
10,Canada,S03_NO_POD,LEC,8,NO,0.195,0.1714,44.4,1,10.0,305.98
10,Canada,S18_NO_WIN,VER,2,NO,0.4018,0.1674,31.87,1,19.91,325.89
10,Canada,S18_NO_WIN,PIA,3,NO,0.3833,0.2661,48.88,1,28.26,354.14
11,Austria,S03_NO_POD,PIA,3,NO,0.768,0.2368,27.3,0,-27.3,326.84
11,Austria,S03_NO_POD,VER,7,NO,0.404,0.3331,49.03,1,30.91,357.75
12,Great Britain,S01_YES_POD,RUS,4,YES,0.1767,0.1749,19.0,0,-19.0,338.75
12,Great Britain,S03_NO_POD,NOR,3,NO,0.7091,0.1778,21.23,0,-21.23,317.52
12,Great Britain,S18_NO_WIN,PIA,2,NO,0.3182,0.0838,20.9,1,9.07,326.59
13,Belgium,S01_YES_POD,LEC,3,YES,0.3678,0.1634,21.1,1,33.73,360.32
13,Belgium,S03_NO_POD,VER,4,NO,0.663,0.3114,42.31,1,77.41,437.73
13,Belgium,S18_NO_WIN,PIA,2,NO,0.3781,0.1437,41.59,0,-41.59,396.14
14,Hungary,S03_NO_POD,PIA,2,NO,0.8694,0.1584,18.04,0,-18.04,378.1
14,Hungary,S03_NO_POD,NOR,3,NO,0.8478,0.3165,35.29,0,-35.29,342.81
14,Hungary,S18_NO_WIN,PIA,2,NO,0.4901,0.2557,44.71,1,39.97,382.78
14,Hungary,S18_NO_WIN,NOR,3,NO,0.2899,0.1727,57.01,0,-57.01,325.77
15,Netherlands,S01_YES_POD,HAD,4,YES,0.0971,0.2545,22.96,1,198.52,524.29
15,Netherlands,S03_NO_POD,NOR,2,NO,0.8796,0.1686,25.12,1,170.7,694.99
15,Netherlands,S03_NO_POD,VER,3,NO,0.6885,0.1572,39.67,0,-39.67,655.32
15,Netherlands,S18_NO_WIN,NOR,2,NO,0.335,0.1006,49.2,1,23.05,678.37
16,Italy,S03_NO_POD,PIA,3,NO,0.7824,0.2512,54.45,0,-54.45,623.92
16,Italy,S18_NO_WIN,NOR,2,NO,0.3893,0.1549,62.06,1,36.79,660.71
16,Italy,S18_NO_WIN,PIA,3,NO,0.2668,0.1496,92.62,1,31.34,692.06
17,Azerbaijan,S01_YES_POD,SAI,2,YES,0.1653,0.5456,103.81,1,487.5,1179.56
17,Azerbaijan,S01_YES_POD,LAW,3,YES,0.1,0.4312,141.28,0,-141.28,1038.27
17,Azerbaijan,S03_NO_POD,NOR,7,NO,0.6623,0.5914,155.74,1,284.06,1322.33
17,Azerbaijan,S03_NO_POD,PIA,9,NO,0.5657,0.5501,198.35,1,240.28,1562.61
18,Singapore,S01_YES_POD,ANT,4,YES,0.1931,0.1584,76.69,0,-76.69,1485.92
18,Singapore,S03_NO_POD,PIA,3,NO,0.6948,0.1635,87.42,1,185.08,1670.99
18,Singapore,S03_NO_POD,NOR,5,NO,0.4322,0.2447,236.52,0,-236.52,1434.48
18,Singapore,S18_NO_WIN,VER,2,NO,0.447,0.2126,170.56,1,128.22,1562.7
19,United States,S03_NO_POD,RUS,4,NO,0.5083,0.1567,120.44,1,115.79,1678.49
19,United States,S03_NO_POD,PIA,6,NO,0.4361,0.3189,251.77,1,181.08,1859.57
20,Mexico,S03_NO_POD,VER,5,NO,0.5901,0.4026,278.94,0,-278.94,1580.63
21,São Paulo,S01_YES_POD,ANT,2,YES,0.5414,0.1695,146.05,1,115.05,1695.69
21,São Paulo,S03_NO_POD,PIA,4,NO,0.6917,0.3401,208.44,1,434.91,2130.6
22,Las Vegas,S01_YES_POD,SAI,3,YES,0.1989,0.3323,220.95,0,-220.95,1909.65
22,Las Vegas,S03_NO_POD,VER,2,NO,0.8725,0.1616,88.42,0,-88.42,1821.23
