year,round,circuit,country,event_name,driver,team,country_code,qual_pos,q1_time,q2_time,q3_time,best_q_time
2019,1,Melbourne,Australia,Australian Grand Prix,HAM,Mercedes,,1,82.043,81.014,80.486,80.486
2019,1,Melbourne,Australia,Australian Grand Prix,BOT,Mercedes,,2,82.367,81.193,80.598,80.598
2019,1,Melbourne,Australia,Australian Grand Prix,VET,Ferrari,,3,82.885,81.912,81.19,81.19
2019,1,Melbourne,Australia,Australian Grand Prix,VER,Red Bull Racing,,4,82.876,81.678,81.32,81.32
2019,1,Melbourne,Australia,Australian Grand Prix,LEC,Ferrari,,5,82.017,81.739,81.442,81.442
2019,1,Melbourne,Australia,Australian Grand Prix,GRO,Haas F1 Team,,6,82.959,81.87,81.826,81.826
2019,1,Melbourne,Australia,Australian Grand Prix,MAG,Haas F1 Team,,7,82.519,82.221,82.099,82.099
2019,1,Melbourne,Australia,Australian Grand Prix,NOR,McLaren,,8,82.702,82.423,82.304,82.304
2019,1,Melbourne,Australia,Australian Grand Prix,RAI,Alfa Romeo Racing,,9,82.966,82.349,82.314,82.314
2019,1,Melbourne,Australia,Australian Grand Prix,PER,Racing Point,,10,82.908,82.532,82.781,82.781
2019,1,Melbourne,Australia,Australian Grand Prix,HUL,Renault,,11,82.54,82.562,,82.562
2019,1,Melbourne,Australia,Australian Grand Prix,RIC,Renault,,12,82.921,82.57,,82.57
2019,1,Melbourne,Australia,Australian Grand Prix,ALB,Toro Rosso,,13,82.757,82.636,,82.636
2019,1,Melbourne,Australia,Australian Grand Prix,GIO,Alfa Romeo Racing,,14,82.431,82.714,,82.714
2019,1,Melbourne,Australia,Australian Grand Prix,KVY,Toro Rosso,,15,82.511,82.774,,82.774
2019,1,Melbourne,Australia,Australian Grand Prix,STR,Racing Point,,16,83.017,,,83.017
2019,1,Melbourne,Australia,Australian Grand Prix,GAS,Red Bull Racing,,17,83.02,,,83.02
2019,1,Melbourne,Australia,Australian Grand Prix,SAI,McLaren,,18,83.084,,,83.084
2019,1,Melbourne,Australia,Australian Grand Prix,RUS,Williams,,19,84.36,,,84.36
2019,1,Melbourne,Australia,Australian Grand Prix,KUB,Williams,,20,86.067,,,86.067
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,LEC,Ferrari,,1,88.495,88.046,87.866,87.866
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,VET,Ferrari,,2,88.733,88.356,88.16,88.16
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,HAM,Mercedes,,3,89.262,88.578,88.19,88.19
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,BOT,Mercedes,,4,89.498,88.83,88.256,88.256
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,VER,Red Bull Racing,,5,89.579,89.109,88.752,88.752
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,MAG,Haas F1 Team,,6,89.532,89.017,88.757,88.757
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,SAI,McLaren,,7,89.528,89.055,88.813,88.813
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,GRO,Haas F1 Team,,8,89.688,89.249,89.015,89.015
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,RAI,Alfa Romeo Racing,,9,89.959,89.471,89.022,89.022
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,NOR,McLaren,,10,89.381,89.258,89.043,89.043
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,RIC,Renault,,11,89.859,89.488,,89.488
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,ALB,Toro Rosso,,12,89.514,89.513,,89.513
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,GAS,Red Bull Racing,,13,89.9,89.526,,89.526
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,PER,Racing Point,,14,89.893,89.756,,89.756
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,KVY,Toro Rosso,,15,89.876,89.854,,89.854
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,GIO,Alfa Romeo Racing,,16,90.026,,,90.026
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,HUL,Renault,,17,90.034,,,90.034
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,STR,Racing Point,,18,90.217,,,90.217
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,RUS,Williams,,19,91.759,,,91.759
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,KUB,Williams,,20,91.799,,,91.799
2019,3,Shanghai,China,Chinese Grand Prix,BOT,Mercedes,,1,92.658,91.728,91.547,91.547
2019,3,Shanghai,China,Chinese Grand Prix,HAM,Mercedes,,2,93.115,91.637,91.57,91.57
2019,3,Shanghai,China,Chinese Grand Prix,VET,Ferrari,,3,93.557,92.232,91.848,91.848
2019,3,Shanghai,China,Chinese Grand Prix,LEC,Ferrari,,4,92.712,92.324,91.865,91.865
2019,3,Shanghai,China,Chinese Grand Prix,VER,Red Bull Racing,,5,93.274,92.369,92.089,92.089
2019,3,Shanghai,China,Chinese Grand Prix,GAS,Red Bull Racing,,6,93.863,92.948,92.93,92.93
