year,round,circuit,country,event_name,driver,team,grid_pos,finish_pos,status,points,laps,qual_rain,race_rain,race_temp,qual_temp
2019,1,Melbourne,Australia,Australian Grand Prix,BOT,Mercedes,2,1,Finished,26.0,58,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,HAM,Mercedes,1,2,Finished,18.0,58,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,VER,Red Bull Racing,4,3,Finished,15.0,58,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,VET,Ferrari,3,4,Finished,12.0,58,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,LEC,Ferrari,5,5,Finished,10.0,58,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,MAG,Haas F1 Team,7,6,Finished,8.0,58,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,HUL,Renault,11,7,+1 Lap,6.0,57,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,RAI,Alfa Romeo Racing,9,8,+1 Lap,4.0,57,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,STR,Racing Point,16,9,+1 Lap,2.0,57,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,KVY,Toro Rosso,15,10,+1 Lap,1.0,57,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,GAS,Red Bull Racing,17,11,+1 Lap,0.0,57,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,NOR,McLaren,8,12,+1 Lap,0.0,57,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,PER,Racing Point,10,13,+1 Lap,0.0,57,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,ALB,Toro Rosso,13,14,+1 Lap,0.0,57,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,GIO,Alfa Romeo Racing,14,15,+1 Lap,0.0,57,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,RUS,Williams,19,16,+2 Laps,0.0,56,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,KUB,Williams,20,17,+3 Laps,0.0,55,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,GRO,Haas F1 Team,6,18,Wheel,0.0,29,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,RIC,Renault,12,19,Damage,0.0,28,False,False,23.477868852459014,23.16923076923077
2019,1,Melbourne,Australia,Australian Grand Prix,SAI,McLaren,18,20,Engine,0.0,9,False,False,23.477868852459014,23.16923076923077
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,HAM,Mercedes,3,1,Finished,25.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,BOT,Mercedes,4,2,Finished,18.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,LEC,Ferrari,1,3,Finished,16.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,VER,Red Bull Racing,5,4,Finished,12.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,VET,Ferrari,2,5,Finished,10.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,NOR,McLaren,9,6,Finished,8.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,RAI,Alfa Romeo Racing,8,7,Finished,6.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,GAS,Red Bull Racing,13,8,Finished,4.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,ALB,Toro Rosso,12,9,Finished,2.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,PER,Racing Point,14,10,Finished,1.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,GIO,Alfa Romeo Racing,16,11,Finished,0.0,57,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,KVY,Toro Rosso,15,12,+1 Lap,0.0,56,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,MAG,Haas F1 Team,6,13,+1 Lap,0.0,56,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,STR,Racing Point,18,14,+1 Lap,0.0,56,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,RUS,Williams,19,15,+1 Lap,0.0,56,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,KUB,Williams,20,16,+2 Laps,0.0,55,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,HUL,Renault,17,17,Engine,0.0,53,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,RIC,Renault,10,18,Out of fuel,0.0,53,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,SAI,McLaren,7,19,Collision damage,0.0,53,True,False,26.210852713178294,25.088461538461537
2019,2,Sakhir,Bahrain,Bahrain Grand Prix,GRO,Haas F1 Team,11,20,Retired,0.0,16,True,False,26.210852713178294,25.088461538461537
2019,3,Shanghai,China,Chinese Grand Prix,HAM,Mercedes,2,1,Finished,25.0,56,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,BOT,Mercedes,1,2,Finished,18.0,56,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,VET,Ferrari,3,3,Finished,15.0,56,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,VER,Red Bull Racing,5,4,Finished,12.0,56,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,LEC,Ferrari,4,5,Finished,10.0,56,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,GAS,Red Bull Racing,6,6,Finished,9.0,56,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,RIC,Renault,7,7,+1 Lap,6.0,55,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,PER,Racing Point,12,8,+1 Lap,4.0,55,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,RAI,Alfa Romeo Racing,13,9,+1 Lap,2.0,55,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,ALB,Toro Rosso,0,10,+1 Lap,1.0,55,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,GRO,Haas F1 Team,10,11,+1 Lap,0.0,55,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,STR,Racing Point,16,12,+1 Lap,0.0,55,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,MAG,Haas F1 Team,9,13,+1 Lap,0.0,55,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,SAI,McLaren,14,14,+1 Lap,0.0,55,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,GIO,Alfa Romeo Racing,19,15,+1 Lap,0.0,55,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,RUS,Williams,17,16,+2 Laps,0.0,54,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,KUB,Williams,18,17,+2 Laps,0.0,54,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,NOR,McLaren,15,18,Collision,0.0,50,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,KVY,Toro Rosso,11,19,Collision,0.0,41,False,False,19.32992125984252,20.570886075949367
2019,3,Shanghai,China,Chinese Grand Prix,HUL,Renault,8,20,Power Unit,0.0,16,False,False,19.32992125984252,20.570886075949367
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,BOT,Mercedes,1,1,Finished,25.0,51,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,HAM,Mercedes,2,2,Finished,18.0,51,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,VET,Ferrari,3,3,Finished,15.0,51,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,VER,Red Bull Racing,4,4,Finished,12.0,51,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,LEC,Ferrari,8,5,Finished,11.0,51,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,PER,Racing Point,5,6,Finished,8.0,51,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,SAI,McLaren,9,7,Finished,6.0,51,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,NOR,McLaren,7,8,Finished,4.0,51,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,STR,Racing Point,13,9,Finished,2.0,51,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,RAI,Alfa Romeo Racing,0,10,+1 Lap,1.0,50,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,ALB,Toro Rosso,11,11,+1 Lap,0.0,50,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,GIO,Alfa Romeo Racing,17,12,+1 Lap,0.0,50,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,MAG,Haas F1 Team,12,13,+1 Lap,0.0,50,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,HUL,Renault,15,14,+1 Lap,0.0,50,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,RUS,Williams,16,15,+2 Laps,0.0,49,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,KUB,Williams,0,16,+2 Laps,0.0,49,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,GAS,Red Bull Racing,0,17,Transmission,0.0,38,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,GRO,Haas F1 Team,14,18,Brakes,0.0,38,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,KVY,Toro Rosso,6,19,Collision,0.0,33,False,False,19.76356589147287,15.898484848484848
2019,4,Baku,Azerbaijan,Azerbaijan Grand Prix,RIC,Renault,10,20,Collision,0.0,31,False,False,19.76356589147287,15.898484848484848
2019,5,Barcelona,Spain,Spanish Grand Prix,HAM,Mercedes,2,1,Finished,26.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,BOT,Mercedes,1,2,Finished,18.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,VER,Red Bull Racing,4,3,Finished,15.0,66,False,False,20.147727272727273,21.070129870129865
2019,5,Barcelona,Spain,Spanish Grand Prix,VET,Ferrari,3,4,Finished,12.0,66,False,False,20.147727272727273,21.070129870129865
