qual_pos,n_starts,n_wins,n_podiums,p_win,p_podium
1,108,27,70,0.25,0.6481
2,110,26,60,0.2364,0.5455
3,106,12,43,0.1132,0.4057
4,108,12,40,0.1111,0.3704
5,108,9,22,0.0833,0.2037
6,106,9,25,0.0849,0.2358
7,104,3,13,0.0288,0.125
8,111,2,8,0.018,0.0721
9,110,0,7,0.0,0.0636
10,108,0,3,0.0,0.0278
11,106,4,11,0.0377,0.1038
12,110,1,5,0.0091,0.0455
13,108,1,5,0.0093,0.0463
14,107,1,3,0.0093,0.028
15,106,2,3,0.0189,0.0283
16,106,0,3,0.0,0.0283
17,109,0,4,0.0,0.0367
18,108,0,1,0.0,0.0093
19,107,1,1,0.0093,0.0093
20,92,1,4,0.0109,0.0435
