round,event_code,race_name,market_type,driver,team,outcome,finish_pos,yes_price,no_price,base_rate,edge_vs_base,cross_winner_price,grid_pos,gap_to_pole,gap_to_teammate,q_improvement,q1_sec,q3_sec,fp2_best_delta,fp2_lr_delta,fp2_lr_std,fp2_n_laps,fp3_best_delta,rolling_avg_finish,rolling_avg_grid,rolling_avg_gained,rolling_dnf_rate,rolling_avg_points,rolling_consistency,n_prior_races,team_tier,is_street_circuit,is_high_attrition,is_home_race,price_drift,total_volume,volume_ratio
1,AGP25,Australia,RACE,NOR,McLaren,1,1,0.4058,0.5942,0.5,0.0942,,1,0.0,-0.08400000000000318,-0.01074928865001584,75.912,75.096,0.14100000000000534,,,6.0,0.6759999999999877,5.0,2.8,-2.2,0.0,12.4,3.22490309931942,24,1,0,1,0,0.028833333333333266,3895.0,9.584239130434783
1,AGP25,Australia,RACE,PIA,McLaren,0,9,0.2256,0.7744,0.2344,0.0087,,2,0.08400000000000318,0.08400000000000318,-0.011595803423522795,76.062,75.18,0.12400000000000944,,,5.0,0.0,7.2,7.8,0.6,0.0,6.0,2.3151673805580453,24,1,0,1,1,-0.008124999999999993,1328.0,1.0030165912518854
1,AGP25,Australia,RACE,VER,Red Bull Racing,0,2,0.3009,0.6991,0.1172,-0.1837,,3,0.3849999999999909,-1.6129999999999995,-0.007064116393485834,76.018,75.481,0.6240000000000094,,,5.0,0.08099999999998886,3.8,6.0,2.2,0.0,15.4,2.3151673805580453,24,1,0,1,0,-0.02487035436473639,3999.0,2.6255666364460564
1,AGP25,Australia,RACE,RUS,Mercedes,0,3,0.0744,0.9256,0.0391,-0.0354,,4,0.45000000000000284,-0.9789999999999992,-0.005594239907333024,75.971,75.546,0.8430000000000035,0.07399999999999807,0.07114773362518571,10.0,0.03899999999998727,3.8,3.0,-0.8,0.0,13.8,1.469693845669907,24,2,0,1,0,,353.0,
1,AGP25,Australia,RACE,TSU,Racing Bulls,0,12,0.028,0.972,0.0156,-0.0124,,5,0.5739999999999981,-0.5049999999999955,-0.007281075762545,76.225,75.67,0.3450000000000131,,,3.0,0.5339999999999918,12.2,9.2,-3.0,0.4,1.6,4.445222154178573,24,3,0,1,0,,313.0,
1,AGP25,Australia,RACE,LEC,Ferrari,0,8,0.0595,0.9405,0.0079,-0.0516,,7,0.6589999999999918,-0.21800000000000352,-0.0036038879901090495,76.029,75.755,0.0,0.0,0.36261582977029544,11.0,0.2669999999999959,3.4,7.6,4.2,0.0,14.2,1.019803902718557,24,1,0,1,0,,1335.0,
1,AGP25,Australia,RACE,HAM,Ferrari,0,10,0.076,0.924,0.0079,-0.0681,,8,0.8769999999999953,0.21800000000000352,-0.003149069056460117,76.213,75.973,0.4200000000000017,,,7.0,0.45699999999999363,6.4,10.4,4.0,0.0,8.6,3.8781438859330635,24,1,0,1,0,0.016000000000000014,2705.0,0.7317541613316261
1,AGP25,Australia,RACE,SAI,Williams,0,18,0.0244,0.9756,0.0236,-0.0008,,10,0.965999999999994,0.32500000000000284,-0.003902566788894733,76.36,76.062,0.8630000000000138,,,5.0,0.33099999999998886,5.6,6.6,1.0,0.2,13.2,5.4626001134990645,23,3,0,1,0,-0.047555555555555545,690.0,1.1630094043887147
2,CGP25,China,RACE,PIA,McLaren,1,1,0.5369,0.4631,0.5,-0.0369,,1,0.0,-0.15200000000000102,-0.010372198141738693,91.591,90.641,,,,,,7.4,4.8,-2.6,0.0,5.6,2.4166091947189146,25,1,0,0,0,0.2003386911075452,24981.0,0.45196163905841324
2,CGP25,China,RACE,RUS,Mercedes,0,3,0.0888,0.9112,0.2344,0.1455,,2,0.08199999999999363,-0.37999999999999545,-0.006265403362725261,91.295,90.723,,,,,,3.4,2.8,-0.6,0.0,14.8,1.3564659966250538,25,2,0,0,0,-0.0011538461538461442,1068.0,355.0
2,CGP25,China,RACE,NOR,McLaren,0,2,0.3333,0.6667,0.1172,-0.2161,,3,0.15200000000000102,0.15200000000000102,-0.0020883022103029988,90.983,90.793,,,,,,4.8,2.4,-2.4,0.0,13.8,3.4292856398964493,25,1,0,0,0,-0.0720952380952381,6803.0,1.0621400424371021
2,CGP25,China,RACE,VER,Red Bull Racing,0,4,0.1361,0.8639,0.0391,-0.097,,4,0.17599999999998772,-1.3570000000000135,-0.006639394469723634,91.424,90.817,,,,,,3.0,6.2,3.2,0.0,17.4,2.0976176963403033,25,1,0,0,0,-0.02561403508771934,3918.0,14.926829268292684
2,CGP25,China,RACE,HAM,Ferrari,0,19,0.0955,0.9045,0.0156,-0.0799,,5,0.28600000000000136,-0.09399999999999409,-0.008321518159013972,91.69,90.927,,,,,,7.6,10.8,3.2,0.0,6.4,3.8781438859330635,25,1,0,0,0,-0.04150000000000001,1905.0,3.7625
2,CGP25,China,RACE,LEC,Ferrari,0,18,0.0425,0.9575,0.0312,-0.0112,,6,0.37999999999999545,0.09399999999999409,-0.0060930999464942045,91.579,91.021,,,,,,4.4,8.2,3.8,0.0,11.8,2.0591260281974,25,1,0,0,0,-0.037500000000000006,228.0,6.354838709677419
2,CGP25,China,RACE,HAD,Racing Bulls,0,11,0.03,0.97,0.0079,-0.0221,,7,0.4379999999999882,-0.5590000000000117,-0.0009104670805819597,91.162,91.079,,,,,,20.0,11.0,-9.0,1.0,0.0,,1,3,0,0,0,,49.0,
2,CGP25,China,RACE,TSU,Racing Bulls,0,16,0.03,0.97,0.0078,-0.0222,,9,0.9969999999999999,0.5590000000000117,0.004384138188035749,91.238,91.638,,,,,,10.6,8.0,-2.6,0.2,1.6,2.244994432064365,25,3,0,0,0,,205.0,
3,JGP25,Japan,RACE,VER,Red Bull Racing,1,1,0.3197,0.6803,0.5,0.1803,,1,0.0,-1.016999999999996,-0.010916161604675685,87.943,86.983,0.5559999999999974,,,1.0,0.5319999999999965,3.6,3.6,0.0,0.0,14.6,1.8547236990991407,26,1,0,0,0,0.01346830985915487,9211.0,5.482054890921886
