strategy,final,return_pct,trades,win_rate,sharpe,max_dd,top3_conc
Hybrid_ml30_RACEPODIUM_t25,262.06,162.1,27,33.3,1.48,0.0,0.0
Hybrid_ml30_RACEPODIUM_t15,187.54,87.5,51,29.4,0.69,0.0,0.0
Hybrid_ml30_RACEPODIUM_t20,158.03,58.0,38,28.9,0.74,0.0,0.0
Hybrid_ml50_RACEPODIUM_t25,146.09,46.1,26,26.9,0.68,0.0,0.0
ML_LogReg_RACEPODIUM_t25,134.78,34.8,16,25.0,0.59,45.9,311.9
Hybrid_ml70_RACEPODIUM_t20,119.03,19.0,36,27.8,0.32,0.0,0.0
Hybrid_ml50_RACEPODIUM_t20,100.93,0.9,34,23.5,0.02,0.0,0.0
Hybrid_ml50_RACEPODIUM_t15,100.4,0.4,51,25.5,0.01,0.0,0.0
Hybrid_ml70_RACEPODIUM_t25,93.62,-6.4,26,23.1,-0.13,0.0,0.0
Ensemble_RACEPODIUM_t25,88.93,-11.1,29,24.1,-0.19,0.0,0.0
ML_LogReg_RACEPODIUM_t20,87.88,-12.1,31,19.4,-0.21,54.9,0.0
Hybrid_ml70_RACEPODIUM_t15,67.13,-32.9,49,22.4,-0.73,0.0,0.0
Ensemble_RACEPODIUM_t20,62.8,-37.2,37,21.6,-0.82,0.0,0.0
ML_RF_RACEPODIUM_t25,56.51,-43.5,26,15.4,-1.02,70.5,0.0
ML_LogReg_RACEPODIUM_t15,55.5,-44.5,51,17.6,-0.9,67.7,0.0
ML_RF_RACEPODIUM_t20,50.49,-49.5,40,20.0,-1.11,70.3,0.0
ML_RF_RACEPODIUM_t10,48.54,-51.5,69,20.3,-1.06,82.5,0.0
ML_LogReg_RACEPODIUM_t10,48.29,-51.7,67,20.9,-1.21,70.6,0.0
Ensemble_RACEPODIUM_t10,48.02,-52.0,69,21.7,-1.18,0.0,0.0
Ensemble_RACEPODIUM_t15,47.62,-52.4,49,20.4,-1.21,0.0,0.0
ML_GBM_RACEPODIUM_t25,44.65,-55.4,31,25.8,-1.13,68.6,0.0
Ensemble_RACE_t25,39.65,-60.4,12,25.0,-2.68,0.0,0.0
ML_LogReg_RACE_t15,38.0,-62.0,21,42.9,-2.25,62.0,0.0
ML_RF_RACEPODIUM_t15,36.12,-63.9,59,20.3,-1.62,77.7,0.0
ML_RF_RACE_t15,35.31,-64.7,23,39.1,-2.12,64.7,0.0
ML_RF_RACE_t20,33.13,-66.9,14,28.6,-2.57,66.9,0.0
ML_LogReg_RACE_t10,32.31,-67.7,33,36.4,-2.42,67.7,0.0
ML_RF_RACE_t10,31.24,-68.8,35,40.0,-2.42,68.8,0.0
ML_RF_RACE_t25,30.65,-69.3,13,23.1,-2.94,69.3,0.0
ML_LogReg_RACE_t20,29.92,-70.1,16,31.2,-3.1,70.1,0.0
ML_LogReg_RACE_t25,29.79,-70.2,13,23.1,-3.39,70.2,0.0
ML_GBM_RACEPODIUM_t15,28.79,-71.2,49,24.5,-1.71,75.1,0.0
ML_GBM_RACEPODIUM_t20,26.32,-73.7,41,24.4,-1.79,73.7,0.0
Ensemble_RACE_t20,25.88,-74.1,18,22.2,-3.19,0.0,0.0
Ensemble_RACE_t15,25.14,-74.9,26,26.9,-2.79,0.0,0.0
ML_GBM_RACE_t25,21.45,-78.6,19,15.8,-2.07,78.6,0.0
Ensemble_RACE_t10,19.87,-80.1,37,27.0,-3.24,0.0,0.0
ML_GBM_RACEPODIUM_t10,16.33,-83.7,69,24.6,-2.42,85.4,0.0
ML_GBM_RACE_t15,12.25,-87.7,38,23.7,-2.17,88.5,0.0
ML_GBM_RACE_t20,11.24,-88.8,33,18.2,-2.24,89.4,0.0
ML_GBM_RACE_t10,10.13,-89.9,46,26.1,-2.18,90.5,0.0
