strategy,final,return_pct,trades,win_rate,sharpe,max_dd,top3_conc,avg_edge
BaseRate_RACEPODIUM_t25,427.15,327.1,38,39.5,0.95,43.1,144.0,33.2
BaseRate_RACEPODIUM_t20,294.74,194.7,63,30.2,0.7,53.0,204.2,28.9
BuyUnderdog_P4-6_t20,214.17,114.2,9,33.3,1.83,12.2,146.3,22.3
BuyUnderdog_P4-8_t20,214.17,114.2,9,33.3,1.83,12.2,146.3,22.3
BuyUnderdog_P4-10_t20,214.17,114.2,9,33.3,1.83,12.2,146.3,22.3
FP3Improve_RACEPODIUM_3+,209.71,109.7,26,15.4,1.31,30.8,163.3,12.7
BuyUnderdog_P3-8_t20,194.44,94.4,10,30.0,1.39,19.3,176.9,23.5
FP3Improve_RACEPODIUM_5+,178.0,78.0,17,11.8,1.39,25.5,150.5,14.1
BaseRate_RACEPODIUM_t15,140.6,40.6,79,25.3,0.23,58.2,639.6,26.7
BaseRate_ALL_t25,139.45,39.5,54,37.0,0.17,60.3,707.6,34.4
FP3Improve_RACEPODIUM_7+,138.01,38.0,7,14.3,1.27,14.3,138.4,15.3
BuyUnderdog_P4-10_t15,122.32,22.3,20,15.0,0.3,34.9,566.7,19.9
BuyUnderdog_P4-6_t15,122.32,22.3,20,15.0,0.3,34.9,566.7,19.9
BuyUnderdog_P4-8_t15,122.32,22.3,20,15.0,0.3,34.9,566.7,19.9
BaseRate_RACEPODIUM_t10,111.69,11.7,100,27.0,0.06,66.9,2257.8,23.7
BuyUnderdog_P3-8_t15,104.37,4.4,22,13.6,0.05,44.4,2895.9,20.6
BuyUnderdog_P4-6_t10,97.66,-2.3,26,11.5,-0.03,41.6,0.0,18.4
FadeVolume_RACEPODIUM,95.52,-4.5,33,30.3,-0.08,48.0,0.0,27.1
BuyUnderdog_P4-10_t10,94.96,-5.0,27,11.1,-0.07,41.6,0.0,18.1
BuyUnderdog_P4-8_t10,94.96,-5.0,27,11.1,-0.07,41.6,0.0,18.1
BaseRate_ALL_t20,92.02,-8.0,83,31.3,-0.04,69.3,0.0,30.2
FP3Improve_RACE_7+,85.55,-14.4,7,0.0,-5.91,14.4,0.0,8.6
BaseRate_RACEPODIUM_t5,85.62,-14.4,148,26.4,-0.09,72.7,0.0,18.4
GoodForm_RACEPODIUM_form<=5,83.6,-16.4,5,0.0,-5.97,16.4,0.0,12.0
BuyUnderdog_P4-6_t5,83.34,-16.7,35,11.4,-0.24,47.0,0.0,15.7
BuyUnderdog_P3-8_t10,81.02,-19.0,29,10.3,-0.26,50.2,0.0,18.7
BuyUnderdog_P4-8_t5,75.04,-25.0,52,9.6,-0.39,50.3,0.0,13.0
BuyUnderdog_P4-10_t5,74.05,-26.0,53,9.4,-0.4,51.0,0.0,12.8
FP3Improve_RACE_5+,72.06,-27.9,17,0.0,-7.23,27.9,0.0,7.5
BuyUnderdog_P3-8_t5,65.08,-34.9,56,10.7,-0.52,57.6,0.0,13.2
FP3Improve_RACE_3+,62.06,-37.9,26,0.0,-6.0,37.9,0.0,7.1
FadeVolume_RACE,61.06,-38.9,23,56.5,-0.92,61.6,0.0,25.4
BaseRate_ALL_t15,44.75,-55.2,108,30.6,-0.46,73.8,0.0,27.3
Combo_SellP1-3_BuyP4-8_t15,41.12,-58.9,48,33.3,-0.71,70.5,0.0,25.3
Combo_SellP1-3_BuyP4-6_t15,41.12,-58.9,48,33.3,-0.71,70.5,0.0,25.3
StreetCircuit_t15,39.05,-60.9,19,21.1,-2.95,71.7,0.0,30.8
StreetCircuit_t10,37.42,-62.6,23,26.1,-2.61,71.7,0.0,28.4
Combo_SellP1-2_BuyP4-6_t15,36.75,-63.3,43,27.9,-0.91,68.8,0.0,25.7
Combo_SellP1-2_BuyP4-8_t15,36.75,-63.3,43,27.9,-0.91,68.8,0.0,25.7
Combo_SellP1-3_BuyP4-6_t10,33.67,-66.3,61,34.4,-0.8,72.4,0.0,22.6
Combo_SellP1-3_BuyP4-8_t10,32.74,-67.3,62,33.9,-0.82,74.8,0.0,22.4
BaseRate_RACE_t25,32.65,-67.4,16,31.2,-1.84,71.5,0.0,37.3
BaseRate_RACE_t15,31.83,-68.2,29,44.8,-1.63,68.7,0.0,28.8
BaseRate_RACE_t20,31.22,-68.8,20,35.0,-1.67,73.1,0.0,34.2
BaseRate_ALL_t10,30.98,-69.0,144,32.6,-0.54,83.4,0.0,23.5
Combo_SellP1-2_BuyP4-6_t10,29.2,-70.8,55,29.1,-1.05,73.4,0.0,22.9
SellFav_P1-2,28.53,-71.5,33,45.5,-1.92,71.5,0.0,24.6
Combo_SellP1-2_BuyP4-8_t10,28.39,-71.6,56,28.6,-1.08,76.0,0.0,22.7
BaseRate_RACE_t10,27.74,-72.3,44,45.5,-1.54,73.9,0.0,23.2
SellFav_P1-3,27.62,-72.4,42,50.0,-1.75,74.4,0.0,22.6
SellFav_P1-1,25.22,-74.8,21,28.6,-2.34,74.8,0.0,28.0
SellFav_P1-5,24.91,-75.1,43,48.8,-2.05,75.1,0.0,22.3
SellFav_P1-4,24.91,-75.1,43,48.8,-2.05,75.1,0.0,22.3
BaseRate_RACE_t5,10.8,-89.2,92,29.3,-3.0,89.2,0.0,14.8
BaseRate_ALL_t5,8.85,-91.2,228,28.1,-1.34,91.2,0.0,17.5
