round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
4,Bahrain,BGP25,RACEPODIUM,RUS,2,YES,0.6067,0.1043,4.02,1,2.42,102.42
4,Bahrain,BGP25,RACEPODIUM,ANT,4,YES,0.18,0.1716,0.94,0,-0.94,101.48
5,Saudi Arabia,SAGP25,RACEPODIUM,VER,1,YES,0.68,0.1169,6.3,1,2.76,104.24
5,Saudi Arabia,SAGP25,RACEPODIUM,LEC,4,YES,0.1611,0.1905,0.93,1,4.49,108.74
6,Miami,MGP25,RACEPODIUM,ANT,3,YES,0.3731,0.1581,2.56,0,-2.56,106.18
7,Emilia Romagna,ERGP25,RACEPODIUM,RUS,3,YES,0.4113,0.1199,2.22,0,-2.22,103.95
8,Monaco,MCGP25,RACEPODIUM,HAM,4,YES,0.205,0.1466,0.98,0,-0.98,102.97
10,Canada,CAGP25,RACEPODIUM,RUS,1,YES,0.625,0.1719,7.38,1,4.12,107.09
10,Canada,CAGP25,RACEPODIUM,ANT,4,YES,0.1536,0.1979,0.92,1,4.74,111.83
11,Austria,AUGP25,RACEPODIUM,HAM,4,YES,0.2029,0.1487,1.06,0,-1.06,110.77
12,Great Britain,BRGP25,RACEPODIUM,RUS,4,YES,0.1767,0.1749,1.04,0,-1.04,109.73
13,Belgium,BELGP25,RACEPODIUM,LEC,3,YES,0.3678,0.1634,2.61,1,4.17,113.9
14,Hungary,HUNGP25,RACEPODIUM,LEC,1,YES,0.685,0.1118,6.92,0,-6.92,106.97
15,Netherlands,DUTGP25,RACEPODIUM,HAD,4,YES,0.0971,0.2545,0.73,1,6.33,113.3
17,Azerbaijan,AZEGP25,RACEPODIUM,SAI,2,YES,0.1653,0.5456,3.06,1,14.37,127.68
17,Azerbaijan,AZEGP25,RACEPODIUM,LAW,3,YES,0.1,0.4312,1.36,0,-1.36,126.32
17,Azerbaijan,AZEGP25,RACEPODIUM,ANT,4,YES,0.2054,0.1461,1.07,0,-1.07,125.25
18,Singapore,SINGP25,RACEPODIUM,ANT,4,YES,0.1931,0.1584,1.19,0,-1.19,124.06
19,United States,UNISGP25,RACEPODIUM,LEC,3,YES,0.4072,0.124,2.64,1,3.58,127.64
21,São Paulo,SAOPGP25,RACEPODIUM,ANT,2,YES,0.5414,0.1695,6.39,1,5.03,132.67
22,Las Vegas,LASVGP25,RACEPODIUM,SAI,3,YES,0.1989,0.3323,2.74,0,-2.74,129.93
