round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
3,Japan,JGP25,RACEPODIUM,PIA,3,NO,0.69,0.1587,1.78,1,-1.78,98.22
3,Japan,JGP25,RACEPODIUM,RUS,5,NO,0.4431,0.2556,8.03,0,5.94,104.16
4,Bahrain,BGP25,RACEPODIUM,NOR,6,NO,0.6025,0.4853,8.34,1,-8.34,95.82
4,Bahrain,BGP25,RACEPODIUM,VER,7,NO,0.2471,0.1763,13.99,0,4.27,100.09
5,Saudi Arabia,SAGP25,RACEPODIUM,NOR,10,NO,0.395,0.3478,13.33,0,8.09,108.19
6,Miami,MGP25,RACEPODIUM,PIA,4,NO,0.702,0.3504,4.02,1,-4.02,104.16
7,Emilia Romagna,ERGP25,RACEPODIUM,NOR,4,NO,0.69,0.3384,3.96,1,-3.96,100.2
8,Monaco,MCGP25,RACEPODIUM,PIA,3,NO,0.7391,0.2078,1.84,1,-1.84,98.37
8,Monaco,MCGP25,RACEPODIUM,VER,5,NO,0.52,0.3325,7.69,0,7.75,106.11
9,Spain,SGP25,RACEPODIUM,VER,3,NO,0.73,0.1987,1.95,0,4.9,111.01
10,Canada,CAGP25,RACEPODIUM,PIA,3,NO,0.8055,0.2742,1.84,0,7.08,118.09
10,Canada,CAGP25,RACEPODIUM,NOR,7,NO,0.6573,0.5864,8.49,0,15.14,133.23
10,Canada,CAGP25,RACEPODIUM,LEC,8,NO,0.195,0.1714,16.65,0,3.75,136.98
11,Austria,AUGP25,RACEPODIUM,PIA,3,NO,0.768,0.2368,2.45,1,-2.45,134.53
11,Austria,AUGP25,RACEPODIUM,VER,7,NO,0.404,0.3331,16.83,0,10.61,145.14
12,Great Britain,BRGP25,RACEPODIUM,NOR,3,NO,0.7091,0.1778,2.65,1,-2.65,142.49
13,Belgium,BELGP25,RACEPODIUM,VER,4,NO,0.663,0.3114,5.64,0,10.32,152.81
14,Hungary,HUNGP25,RACEPODIUM,PIA,2,NO,0.8694,0.1584,0.91,1,-0.91,151.9
14,Hungary,HUNGP25,RACEPODIUM,NOR,3,NO,0.8478,0.3165,2.17,1,-2.17,149.73
15,Netherlands,DUTGP25,RACEPODIUM,NOR,2,NO,0.8796,0.1686,0.86,0,5.87,155.6
15,Netherlands,DUTGP25,RACEPODIUM,VER,3,NO,0.6885,0.1572,2.66,1,-2.66,152.94
16,Italy,ITAGP25,RACEPODIUM,PIA,3,NO,0.7824,0.2512,2.67,1,-2.67,150.26
17,Azerbaijan,AZEGP25,RACEPODIUM,NOR,7,NO,0.6623,0.5914,11.33,0,20.66,170.93
17,Azerbaijan,AZEGP25,RACEPODIUM,PIA,9,NO,0.5657,0.5501,15.87,0,19.22,190.14
18,Singapore,SINGP25,RACEPODIUM,PIA,3,NO,0.6948,0.1635,3.41,0,7.23,197.37
18,Singapore,SINGP25,RACEPODIUM,NOR,5,NO,0.4322,0.2447,15.28,1,-15.28,182.09
19,United States,UNISGP25,RACEPODIUM,RUS,4,NO,0.5083,0.1567,6.9,0,6.63,188.72
19,United States,UNISGP25,RACEPODIUM,PIA,6,NO,0.4361,0.3189,18.77,0,13.5,202.23
20,Mexico,GRAPDM25,RACEPODIUM,VER,5,NO,0.5901,0.4026,14.14,1,-14.14,188.09
21,São Paulo,SAOPGP25,RACEPODIUM,PIA,4,NO,0.6917,0.3401,7.13,0,14.87,202.96
22,Las Vegas,LASVGP25,RACEPODIUM,VER,2,NO,0.8725,0.1616,1.2,1,-1.2,201.76
22,Las Vegas,LASVGP25,RACEPODIUM,RUS,4,NO,0.7569,0.4054,6.61,1,-6.61,195.16
22,Las Vegas,LASVGP25,RACEPODIUM,LEC,9,NO,0.2038,0.1882,29.27,0,6.97,202.12
23,Qatar,QATGP25,RACEPODIUM,VER,3,NO,0.7361,0.2049,3.71,1,-3.71,198.41
24,Abu Dhabi,ABUDGP25,RACEPODIUM,PIA,3,NO,0.7122,0.181,3.63,1,-3.63,194.78
