round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
1,Australia,AGP25,RACE,VER,3,NO,0.3009,0.1837,10.67,0,4.27,104.27
2,China,CGP25,RACE,NOR,3,NO,0.3333,0.2161,11.27,0,5.24,109.51
3,Japan,JGP25,RACE,NOR,2,NO,0.4221,0.1877,7.04,0,4.78,114.29
4,Bahrain,BGP25,RACE,PIA,1,NO,0.6913,0.1913,2.44,1,-2.44,111.85
4,Bahrain,BGP25,RACE,NOR,6,NO,0.1566,0.1253,16.78,0,2.9,114.75
5,Saudi Arabia,SAGP25,RACE,PIA,2,NO,0.4596,0.2252,7.6,1,-7.6,107.15
6,Miami,MGP25,RACE,NOR,2,NO,0.3656,0.1312,6.1,0,3.27,110.42
6,Miami,MGP25,RACE,PIA,4,NO,0.1825,0.1434,16.07,1,-16.07,94.35
7,Emilia Romagna,ERGP25,RACE,PIA,1,NO,0.6294,0.1294,1.8,0,2.84,97.18
10,Canada,CAGP25,RACE,VER,2,NO,0.4018,0.1674,6.06,0,3.78,100.97
10,Canada,CAGP25,RACE,PIA,3,NO,0.3833,0.2661,10.4,0,6.01,106.98
11,Austria,AUGP25,RACE,NOR,1,NO,0.6763,0.1763,2.26,1,-2.26,104.72
13,Belgium,BELGP25,RACE,PIA,2,NO,0.3781,0.1437,6.19,1,-6.19,98.53
13,Belgium,BELGP25,RACE,VER,4,NO,0.155,0.116,14.78,0,2.52,101.06
14,Hungary,HUNGP25,RACE,PIA,2,NO,0.4901,0.2557,6.72,0,6.01,107.06
14,Hungary,HUNGP25,RACE,NOR,3,NO,0.2899,0.1727,10.69,1,-10.69,96.38
15,Netherlands,DUTGP25,RACE,PIA,1,NO,0.611,0.111,1.7,1,-1.7,94.67
15,Netherlands,DUTGP25,RACE,NOR,2,NO,0.335,0.1007,4.82,0,2.26,96.93
16,Italy,ITAGP25,RACE,NOR,2,NO,0.3893,0.1549,5.89,0,3.49,100.42
16,Italy,ITAGP25,RACE,PIA,3,NO,0.2668,0.1496,9.96,0,3.37,103.79
17,Azerbaijan,AZEGP25,RACE,VER,1,NO,0.6881,0.1881,2.21,1,-2.21,101.58
17,Azerbaijan,AZEGP25,RACE,NOR,7,NO,0.1403,0.1325,15.24,0,2.31,103.89
18,Singapore,SINGP25,RACE,VER,2,NO,0.447,0.2126,6.83,0,5.14,109.03
19,United States,UNISGP25,RACE,VER,1,NO,0.6265,0.1265,2.06,1,-2.06,106.97
20,Mexico,GRAPDM25,RACE,NOR,1,NO,0.6359,0.1359,2.08,1,-2.08,104.89
20,Mexico,GRAPDM25,RACE,VER,5,NO,0.1315,0.1158,15.73,0,2.22,107.11
21,São Paulo,SAOPGP25,RACE,NOR,1,NO,0.7138,0.2138,2.3,1,-2.3,104.81
22,Las Vegas,LASVGP25,RACE,VER,2,NO,0.7105,0.4762,5.08,1,-5.08,99.73
23,Qatar,QATGP25,RACE,PIA,1,NO,0.6046,0.1046,1.71,0,2.43,102.15
24,Abu Dhabi,ABUDGP25,RACE,VER,1,NO,0.721,0.221,2.18,1,-2.18,99.97
