round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
3,Japan,JGP25,RACEPODIUM,HAM,8,YES,0.16,0.1718,0.65,0,-0.65,99.35
8,Monaco,MCGP25,RACEPODIUM,HAM,4,YES,0.205,0.3708,1.9,0,-1.9,97.45
12,Great Britain,BRGP25,RACEPODIUM,LEC,6,YES,0.155,0.2586,0.92,0,-0.92,96.52
16,Italy,ITAGP25,RACEPODIUM,LEC,4,YES,0.4428,0.133,2.04,0,-2.04,94.48
16,Italy,ITAGP25,RACEPODIUM,HAM,5,YES,0.0646,0.3841,0.51,0,-0.51,93.97
16,Italy,ITAGP25,RACEPODIUM,RUS,6,YES,0.1404,0.2382,0.75,0,-0.75,93.22
17,Azerbaijan,AZEGP25,RACEPODIUM,LEC,10,YES,0.1571,0.2665,0.93,0,-0.93,92.29
17,Azerbaijan,AZEGP25,RACEPODIUM,HAM,12,YES,0.1108,0.3009,0.7,0,-0.7,91.59
22,Las Vegas,LASVGP25,RACEPODIUM,LEC,9,YES,0.2038,0.159,0.75,0,-0.75,90.85
22,Las Vegas,LASVGP25,RACEPODIUM,HUL,11,YES,0.103,0.2677,0.56,0,-0.56,90.28
