round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
3,Japan,JGP25,RACEPODIUM,LEC,4,YES,0.3267,0.1304,1.27,0,-1.27,98.73
4,Bahrain,BGP25,RACEPODIUM,ANT,4,YES,0.18,0.2771,1.2,0,-1.2,97.53
5,Saudi Arabia,SAGP25,RACEPODIUM,LEC,4,YES,0.1611,0.296,1.11,1,5.37,102.9
8,Monaco,MCGP25,RACEPODIUM,HAM,4,YES,0.205,0.2521,1.34,0,-1.34,101.57
9,Spain,SGP25,RACEPODIUM,RUS,4,YES,0.27,0.1871,1.41,0,-1.41,100.16
10,Canada,CAGP25,RACEPODIUM,ANT,4,YES,0.1536,0.3035,1.1,1,5.65,105.81
11,Austria,AUGP25,RACEPODIUM,HAM,4,YES,0.2029,0.2542,1.37,0,-1.37,104.44
12,Great Britain,BRGP25,RACEPODIUM,RUS,4,YES,0.1767,0.2804,1.26,0,-1.26,103.19
15,Netherlands,DUTGP25,RACEPODIUM,HAD,4,YES,0.0971,0.36,0.8,1,6.91,110.1
17,Azerbaijan,AZEGP25,RACEPODIUM,ANT,4,YES,0.2054,0.2517,1.43,0,-1.43,108.66
18,Singapore,SINGP25,RACEPODIUM,ANT,4,YES,0.1931,0.264,1.37,0,-1.37,107.29
20,Mexico,GRAPDM25,RACEPODIUM,RUS,4,YES,0.2933,0.1638,1.46,0,-1.46,105.83
