round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
3,Japan,JGP25,RACEPODIUM,VER,1,YES,0.74,0.2163,12.31,1,4.02,104.02
4,Bahrain,BGP25,RACEPODIUM,LEC,3,YES,0.5033,0.1341,2.83,0,-2.83,101.2
5,Saudi Arabia,SAGP25,RACEPODIUM,VER,1,YES,0.68,0.2763,11.88,1,5.2,106.4
5,Saudi Arabia,SAGP25,RACEPODIUM,RUS,3,YES,0.5291,0.1083,2.46,0,-2.46,103.93
5,Saudi Arabia,SAGP25,RACEPODIUM,LEC,4,YES,0.1611,0.2608,1.01,1,4.91,108.84
6,Miami,MGP25,RACEPODIUM,VER,1,YES,0.7725,0.1838,13.58,0,-13.58,95.26
7,Emilia Romagna,ERGP25,RACEPODIUM,RUS,3,YES,0.4113,0.2261,3.01,0,-3.01,92.25
8,Monaco,MCGP25,RACEPODIUM,LEC,2,YES,0.6914,0.1617,6.68,1,2.77,95.02
10,Canada,CAGP25,RACEPODIUM,RUS,1,YES,0.625,0.3313,10.49,1,5.85,100.88
10,Canada,CAGP25,RACEPODIUM,NOR,7,NO,0.6573,0.5864,4.36,0,7.77,108.65
11,Austria,AUGP25,RACEPODIUM,PIA,3,NO,0.768,0.2368,1.17,1,-1.17,107.48
12,Great Britain,BRGP25,RACEPODIUM,VER,1,YES,0.75,0.2063,13.3,0,-13.3,94.18
12,Great Britain,BRGP25,RACEPODIUM,RUS,4,YES,0.1767,0.2452,1.13,0,-1.13,93.05
13,Belgium,BELGP25,RACEPODIUM,LEC,3,YES,0.3678,0.2696,2.92,1,4.67,97.72
14,Hungary,HUNGP25,RACEPODIUM,LEC,1,YES,0.685,0.2713,11.53,0,-11.53,86.19
14,Hungary,HUNGP25,RACEPODIUM,RUS,4,YES,0.3178,0.1041,0.95,1,1.89,88.08
16,Italy,ITAGP25,RACEPODIUM,VER,1,YES,0.7697,0.1866,10.98,1,3.06,91.14
17,Azerbaijan,AZEGP25,RACEPODIUM,VER,1,YES,0.8509,0.1054,10.96,1,1.79,92.92
17,Azerbaijan,AZEGP25,RACEPODIUM,SAI,2,YES,0.1653,0.6878,2.48,1,11.66,104.58
17,Azerbaijan,AZEGP25,RACEPODIUM,LAW,3,YES,0.1,0.5374,1.09,0,-1.09,103.49
17,Azerbaijan,AZEGP25,RACEPODIUM,ANT,4,YES,0.2054,0.2165,1.02,0,-1.02,102.47
17,Azerbaijan,AZEGP25,RACEPODIUM,NOR,7,NO,0.6623,0.5914,4.12,0,7.52,109.99
18,Singapore,SINGP25,RACEPODIUM,RUS,1,YES,0.7638,0.1925,13.69,1,3.94,113.93
20,Mexico,GRAPDM25,RACEPODIUM,PIA,8,NO,0.155,0.1314,12.24,0,2.09,116.02
22,Las Vegas,LASVGP25,RACEPODIUM,SAI,3,YES,0.1989,0.4385,2.53,0,-2.53,113.49
