round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
3,Japan,JGP25,RACEPODIUM,PIA,3,NO,0.69,0.1588,1.07,1,-1.07,98.93
3,Japan,JGP25,RACEPODIUM,RUS,5,NO,0.4431,0.2556,4.82,0,3.57,102.5
3,Japan,JGP25,RACEPODIUM,HAM,8,NO,0.16,0.1364,10.74,0,1.9,104.4
4,Bahrain,BGP25,RACEPODIUM,NOR,6,NO,0.6025,0.4853,5.01,1,-5.01,99.38
4,Bahrain,BGP25,RACEPODIUM,VER,7,NO,0.2471,0.1762,8.41,0,2.57,101.95
5,Saudi Arabia,SAGP25,RACEPODIUM,NOR,10,NO,0.395,0.3478,8.15,0,4.95,106.9
6,Miami,MGP25,RACEPODIUM,PIA,4,NO,0.702,0.3504,2.39,1,-2.39,104.51
7,Emilia Romagna,ERGP25,RACEPODIUM,NOR,4,NO,0.69,0.3384,2.38,1,-2.38,102.13
8,Monaco,MCGP25,RACEPODIUM,PIA,3,NO,0.7391,0.2079,1.12,1,-1.12,101.0
8,Monaco,MCGP25,RACEPODIUM,VER,5,NO,0.52,0.3325,4.7,0,4.74,105.74
9,Spain,SGP25,RACEPODIUM,VER,3,NO,0.73,0.1988,1.17,0,2.93,108.67
9,Spain,SGP25,RACEPODIUM,LEC,7,NO,0.19,0.1191,8.05,1,-8.05,100.62
10,Canada,CAGP25,RACEPODIUM,NOR,7,NO,0.6573,0.5864,4.61,0,8.23,108.85
10,Canada,CAGP25,RACEPODIUM,LEC,8,NO,0.195,0.1714,10.68,0,2.41,111.26
11,Austria,AUGP25,RACEPODIUM,PIA,3,NO,0.768,0.2368,1.19,1,-1.19,110.06
11,Austria,AUGP25,RACEPODIUM,VER,7,NO,0.404,0.3331,8.2,0,5.17,115.23
12,Great Britain,BRGP25,RACEPODIUM,NOR,3,NO,0.7091,0.1779,1.26,1,-1.26,113.97
13,Belgium,BELGP25,RACEPODIUM,VER,4,NO,0.663,0.3114,2.71,0,4.95,118.92
14,Hungary,HUNGP25,RACEPODIUM,NOR,3,NO,0.8478,0.3166,1.01,1,-1.01,117.91
15,Netherlands,DUTGP25,RACEPODIUM,VER,3,NO,0.6885,0.1573,1.26,1,-1.26,116.65
15,Netherlands,DUTGP25,RACEPODIUM,HAD,4,YES,0.0971,0.2545,0.65,1,5.58,122.23
16,Italy,ITAGP25,RACEPODIUM,PIA,3,NO,0.7824,0.2512,1.28,1,-1.28,120.95
17,Azerbaijan,AZEGP25,RACEPODIUM,LAW,3,YES,0.1,0.4312,1.16,0,-1.16,119.79
17,Azerbaijan,AZEGP25,RACEPODIUM,RUS,5,NO,0.3316,0.1441,5.27,1,-5.27,114.52
17,Azerbaijan,AZEGP25,RACEPODIUM,NOR,7,NO,0.6623,0.5914,5.47,0,9.98,124.5
17,Azerbaijan,AZEGP25,RACEPODIUM,PIA,9,NO,0.5657,0.5501,7.66,0,9.28,133.78
17,Azerbaijan,AZEGP25,RACEPODIUM,LEC,10,NO,0.1571,0.1099,10.7,0,1.85,135.64
18,Singapore,SINGP25,RACEPODIUM,PIA,3,NO,0.6948,0.1636,1.46,0,3.1,138.73
18,Singapore,SINGP25,RACEPODIUM,NOR,5,NO,0.4322,0.2447,6.54,1,-6.54,132.19
19,United States,UNISGP25,RACEPODIUM,RUS,4,NO,0.5083,0.1567,3.01,0,2.89,135.08
19,United States,UNISGP25,RACEPODIUM,PIA,6,NO,0.4361,0.3189,8.18,0,5.88,140.96
20,Mexico,GRAPDM25,RACEPODIUM,VER,5,NO,0.5901,0.4026,5.91,1,-5.91,135.05
20,Mexico,GRAPDM25,RACEPODIUM,PIA,8,NO,0.155,0.1314,15.15,0,2.58,137.63
21,São Paulo,SAOPGP25,RACEPODIUM,PIA,4,NO,0.6917,0.3401,3.13,0,6.53,144.16
21,São Paulo,SAOPGP25,RACEPODIUM,VER,16,NO,0.1274,0.1274,18.01,1,-18.01,126.15
22,Las Vegas,LASVGP25,RACEPODIUM,RUS,4,NO,0.7569,0.4053,2.46,1,-2.46,123.68
22,Las Vegas,LASVGP25,RACEPODIUM,LEC,9,NO,0.2038,0.1882,13.91,0,3.31,127.0
23,Qatar,QATGP25,RACEPODIUM,VER,3,NO,0.7361,0.2049,1.4,1,-1.4,125.6
24,Abu Dhabi,ABUDGP25,RACEPODIUM,PIA,3,NO,0.7122,0.181,1.38,1,-1.38,124.22
