round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
4,Bahrain,BGP25,RACE,PIA,1,NO,0.6913,0.1913,2.14,1,-2.14,97.86
7,Emilia Romagna,ERGP25,RACE,PIA,1,NO,0.6294,0.1294,1.86,0,2.94,100.81
11,Austria,AUGP25,RACE,NOR,1,NO,0.6763,0.1763,2.13,1,-2.13,98.68
15,Netherlands,DUTGP25,RACE,PIA,1,NO,0.611,0.111,1.74,1,-1.74,96.94
17,Azerbaijan,AZEGP25,RACE,VER,1,NO,0.6881,0.1881,2.07,1,-2.07,94.87
19,United States,UNISGP25,RACE,VER,1,NO,0.6265,0.1265,1.79,1,-1.79,93.08
20,Mexico,GRAPDM25,RACE,NOR,1,NO,0.6359,0.1359,1.81,1,-1.81,91.27
21,São Paulo,SAOPGP25,RACE,NOR,1,NO,0.7138,0.2138,1.96,1,-1.96,89.32
23,Qatar,QATGP25,RACE,PIA,1,NO,0.6046,0.1046,1.53,0,2.17,91.49
24,Abu Dhabi,ABUDGP25,RACE,VER,1,NO,0.721,0.221,1.96,1,-1.96,89.53
