round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
1,Australia,AGP25,RACE,VER,3,NO,0.3009,0.1837,8.54,0,3.42,103.42
2,China,CGP25,RACE,NOR,3,NO,0.3333,0.2161,8.94,0,4.16,107.57
3,Japan,JGP25,RACE,NOR,2,NO,0.4221,0.1877,5.53,0,3.76,111.33
3,Japan,JGP25,RACE,PIA,3,NO,0.2144,0.0972,7.66,0,1.94,113.27
5,Saudi Arabia,SAGP25,RACE,PIA,2,NO,0.4596,0.2252,6.0,1,-6.0,107.28
6,Miami,MGP25,RACE,NOR,2,NO,0.3656,0.1312,4.88,0,2.62,109.89
10,Canada,CAGP25,RACE,VER,2,NO,0.4018,0.1674,5.48,0,3.42,113.31
10,Canada,CAGP25,RACE,PIA,3,NO,0.3833,0.2661,9.41,0,5.44,118.75
12,Great Britain,BRGP25,RACE,PIA,2,NO,0.3182,0.0838,4.26,0,1.85,120.6
13,Belgium,BELGP25,RACE,PIA,2,NO,0.3781,0.1437,5.7,1,-5.7,114.9
14,Hungary,HUNGP25,RACE,PIA,2,NO,0.4901,0.2557,6.11,0,5.46,120.37
14,Hungary,HUNGP25,RACE,NOR,3,NO,0.2899,0.1727,9.72,1,-9.72,110.65
15,Netherlands,DUTGP25,RACE,NOR,2,NO,0.335,0.1006,4.42,0,2.07,112.72
16,Italy,ITAGP25,RACE,NOR,2,NO,0.3893,0.1549,5.48,0,3.25,115.97
16,Italy,ITAGP25,RACE,PIA,3,NO,0.2668,0.1496,9.27,0,3.14,119.1
18,Singapore,SINGP25,RACE,VER,2,NO,0.447,0.2126,6.27,0,4.71,123.81
22,Las Vegas,LASVGP25,RACE,VER,2,NO,0.7105,0.4761,4.8,1,-4.8,119.01
