round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
13,Belgium,BELGP25,RACEPODIUM,VER,4,NO,0.663,0.215,2.19,0,4.0,104.0
14,Hungary,HUNGP25,RACEPODIUM,LEC,1,YES,0.685,0.1742,7.88,0,-7.88,96.12
14,Hungary,HUNGP25,RACEPODIUM,PIA,2,NO,0.8694,0.1603,0.5,1,-0.5,95.62
14,Hungary,HUNGP25,RACEPODIUM,RUS,4,YES,0.3178,0.1501,1.45,1,2.9,98.52
15,Netherlands,DUTGP25,RACEPODIUM,VER,3,NO,0.6885,0.2453,2.19,1,-2.19,96.33
15,Netherlands,DUTGP25,RACEPODIUM,HAD,4,YES,0.0971,0.3874,0.82,1,7.1,103.43
15,Netherlands,DUTGP25,RACEPODIUM,RUS,5,YES,0.2669,0.2786,2.0,0,-2.0,101.43
16,Italy,ITAGP25,RACEPODIUM,VER,1,NO,0.7697,0.2697,1.64,1,-1.64,99.8
16,Italy,ITAGP25,RACEPODIUM,PIA,3,NO,0.7824,0.211,1.19,1,-1.19,98.61
16,Italy,ITAGP25,RACEPODIUM,LEC,4,YES,0.4428,0.1639,2.64,0,-2.64,95.97
17,Azerbaijan,AZEGP25,RACEPODIUM,SAI,2,YES,0.1653,0.3398,1.29,1,6.06,102.03
17,Azerbaijan,AZEGP25,RACEPODIUM,LAW,3,YES,0.1,0.4575,0.98,0,-0.98,101.05
17,Azerbaijan,AZEGP25,RACEPODIUM,RUS,5,NO,0.3316,0.271,10.48,1,-10.48,90.57
17,Azerbaijan,AZEGP25,RACEPODIUM,NOR,7,NO,0.6623,0.497,4.86,0,8.87,99.44
17,Azerbaijan,AZEGP25,RACEPODIUM,PIA,9,NO,0.5657,0.3273,4.82,0,5.84,105.28
17,Azerbaijan,AZEGP25,RACEPODIUM,LEC,10,YES,0.1571,0.3633,1.3,0,-1.3,103.98
18,Singapore,SINGP25,RACEPODIUM,PIA,3,NO,0.6948,0.1937,1.77,0,3.75,107.73
18,Singapore,SINGP25,RACEPODIUM,ANT,4,YES,0.1931,0.3446,1.72,0,-1.72,106.02
19,United States,UNISGP25,RACEPODIUM,VER,1,NO,0.8742,0.1917,0.58,1,-0.58,105.43
19,United States,UNISGP25,RACEPODIUM,RUS,4,NO,0.5083,0.2144,4.4,0,4.23,109.66
19,United States,UNISGP25,RACEPODIUM,HAM,5,YES,0.1483,0.2406,0.89,0,-0.89,108.77
20,Mexico,GRAPDM25,RACEPODIUM,NOR,1,NO,0.8603,0.2492,0.88,1,-0.88,107.89
20,Mexico,GRAPDM25,RACEPODIUM,VER,5,NO,0.5901,0.2012,3.04,1,-3.04,104.85
20,Mexico,GRAPDM25,RACEPODIUM,PIA,8,YES,0.155,0.3877,1.55,0,-1.55,103.3
21,São Paulo,SAOPGP25,RACEPODIUM,NOR,1,NO,0.8841,0.3682,1.0,1,-1.0,102.3
21,São Paulo,SAOPGP25,RACEPODIUM,RUS,6,YES,0.2148,0.158,0.89,0,-0.89,101.41
22,Las Vegas,LASVGP25,RACEPODIUM,NOR,1,NO,0.8842,0.1926,0.51,0,3.63,105.05
22,Las Vegas,LASVGP25,RACEPODIUM,VER,2,NO,0.8725,0.2354,0.7,1,-0.7,104.35
22,Las Vegas,LASVGP25,RACEPODIUM,SAI,3,YES,0.1989,0.2438,1.23,0,-1.23,103.12
22,Las Vegas,LASVGP25,RACEPODIUM,RUS,4,NO,0.7569,0.5296,3.45,1,-3.45,99.67
23,Qatar,QATGP25,RACEPODIUM,PIA,1,NO,0.8596,0.3596,1.17,1,-1.17,98.5
23,Qatar,QATGP25,RACEPODIUM,VER,3,NO,0.7361,0.2361,1.69,1,-1.69,96.81
24,Abu Dhabi,ABUDGP25,RACEPODIUM,PIA,3,NO,0.7122,0.2274,1.78,1,-1.78,95.03
24,Abu Dhabi,ABUDGP25,RACEPODIUM,LEC,5,YES,0.1435,0.1949,0.63,0,-0.63,94.4
