round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
13,Belgium,BELGP25,RACEPODIUM,LEC,3,YES,0.3678,0.2561,2.98,1,4.76,104.76
13,Belgium,BELGP25,RACEPODIUM,VER,4,NO,0.663,0.2064,2.1,0,3.84,108.6
14,Hungary,HUNGP25,RACEPODIUM,LEC,1,YES,0.685,0.199,9.4,0,-9.4,99.2
14,Hungary,HUNGP25,RACEPODIUM,NOR,3,NO,0.8478,0.1899,0.74,1,-0.74,98.46
17,Azerbaijan,AZEGP25,RACEPODIUM,SAI,2,YES,0.1653,0.1595,0.62,1,2.92,101.38
17,Azerbaijan,AZEGP25,RACEPODIUM,RUS,5,NO,0.3316,0.2206,8.76,1,-8.76,92.63
17,Azerbaijan,AZEGP25,RACEPODIUM,NOR,7,NO,0.6623,0.593,5.95,0,10.86,103.49
17,Azerbaijan,AZEGP25,RACEPODIUM,PIA,9,NO,0.5657,0.5376,8.13,0,9.85,113.33
19,United States,UNISGP25,RACEPODIUM,LEC,3,YES,0.4072,0.2215,3.45,1,4.67,118.0
19,United States,UNISGP25,RACEPODIUM,RUS,4,NO,0.5083,0.2557,5.61,0,5.39,123.39
19,United States,UNISGP25,RACEPODIUM,PIA,6,NO,0.4361,0.2746,8.05,0,5.79,129.18
20,Mexico,GRAPDM25,RACEPODIUM,HAM,3,YES,0.4638,0.1585,3.54,0,-3.54,125.64
20,Mexico,GRAPDM25,RACEPODIUM,VER,5,NO,0.5901,0.3059,5.49,1,-5.49,120.15
21,São Paulo,SAOPGP25,RACEPODIUM,LEC,3,YES,0.4639,0.1651,3.43,0,-3.43,116.71
21,São Paulo,SAOPGP25,RACEPODIUM,PIA,4,NO,0.6917,0.2393,2.56,0,5.35,122.06
22,Las Vegas,LASVGP25,RACEPODIUM,RUS,4,NO,0.7569,0.5527,4.33,1,-4.33,117.73
22,Las Vegas,LASVGP25,RACEPODIUM,LEC,9,NO,0.2038,0.1912,17.66,0,4.2,121.93
24,Abu Dhabi,ABUDGP25,RACEPODIUM,RUS,4,NO,0.4082,0.1669,5.9,0,3.79,125.72
