round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
4,Bahrain,BGP25,RACEPODIUM,ANT,4,YES,0.18,0.2615,0.86,0,-0.86,99.14
4,Bahrain,BGP25,RACEPODIUM,NOR,6,NO,0.6025,0.5345,5.29,1,-5.29,93.85
5,Saudi Arabia,SAGP25,RACEPODIUM,LEC,4,YES,0.1611,0.2696,0.97,1,4.71,98.56
8,Monaco,MCGP25,RACEPODIUM,HAM,4,YES,0.205,0.2646,1.68,0,-1.68,96.88
10,Canada,CAGP25,RACEPODIUM,ANT,4,YES,0.1536,0.2595,0.91,1,4.68,101.55
10,Canada,CAGP25,RACEPODIUM,NOR,7,NO,0.6573,0.5864,4.44,0,7.92,109.48
11,Austria,AUGP25,RACEPODIUM,HAM,4,YES,0.2029,0.212,0.89,0,-0.89,108.59
12,Great Britain,BRGP25,RACEPODIUM,RUS,4,YES,0.1767,0.2335,0.82,0,-0.82,107.77
17,Azerbaijan,AZEGP25,RACEPODIUM,ANT,4,YES,0.2054,0.2278,1.59,0,-1.59,106.19
17,Azerbaijan,AZEGP25,RACEPODIUM,NOR,7,NO,0.6623,0.6048,6.65,0,12.12,118.31
18,Singapore,SINGP25,RACEPODIUM,ANT,4,YES,0.1931,0.2405,1.02,0,-1.02,117.29
20,Mexico,GRAPDM25,RACEPODIUM,PIA,8,NO,0.155,0.1314,12.6,0,2.15,119.44
