round,race_name,event_code,market_type,driver,grid_pos,side,price,edge,stake,outcome,pnl,bankroll
3,Japan,JGP25,RACEPODIUM,PIA,3,NO,0.69,0.1588,1.43,1,-1.43,98.57
8,Monaco,MCGP25,RACEPODIUM,PIA,3,NO,0.7391,0.2079,1.45,1,-1.45,97.13
9,Spain,SGP25,RACEPODIUM,VER,3,NO,0.73,0.1988,1.43,0,3.59,100.72
10,Canada,CAGP25,RACEPODIUM,PIA,3,NO,0.8055,0.2743,1.33,0,5.14,105.86
11,Austria,AUGP25,RACEPODIUM,PIA,3,NO,0.768,0.2368,1.51,1,-1.51,104.34
12,Great Britain,BRGP25,RACEPODIUM,NOR,3,NO,0.7091,0.1779,1.52,1,-1.52,102.82
13,Belgium,BELGP25,RACEPODIUM,PIA,2,NO,0.8439,0.133,0.51,1,-0.51,102.31
14,Hungary,HUNGP25,RACEPODIUM,NOR,3,NO,0.8478,0.3166,1.16,1,-1.16,101.15
15,Netherlands,DUTGP25,RACEPODIUM,VER,3,NO,0.6885,0.1573,1.44,1,-1.44,99.71
16,Italy,ITAGP25,RACEPODIUM,PIA,3,NO,0.7824,0.2512,1.39,1,-1.39,98.32
18,Singapore,SINGP25,RACEPODIUM,PIA,3,NO,0.6948,0.1636,1.41,0,2.99,101.31
23,Qatar,QATGP25,RACEPODIUM,VER,3,NO,0.7361,0.2049,1.49,1,-1.49,99.82
24,Abu Dhabi,ABUDGP25,RACEPODIUM,PIA,3,NO,0.7122,0.181,1.46,1,-1.46,98.36
