round,event,driver,grid,market,pre_q_price,post_q_price,vwap,outcome,n_trades,volume
1,Australian Grand Prix,ALB,6,winner,,0.03,0.03,0,1,27
1,Australian Grand Prix,ANT,16,winner,0.02,,0.02,0,1,93
1,Australian Grand Prix,HAM,8,winner,0.07970588235294118,0.07640358014646052,0.07649247822644495,0,21,1263
1,Australian Grand Prix,LEC,7,winner,0.22594736842105262,0.06301339285714287,0.08319426336375489,0,32,1534
1,Australian Grand Prix,NOR,1,winner,0.37428870292887034,0.5383017414085375,0.5270489450265538,1,160,6967
1,Australian Grand Prix,PIA,2,winner,0.18672169811320752,0.21354430379746836,0.20935543278084714,0,66,2715
1,Australian Grand Prix,RUS,4,winner,0.08,0.04685714285714286,0.04781841109709963,0,22,793
1,Australian Grand Prix,SAI,9,winner,0.0534641638225256,0.013934240362811795,0.01956490034030141,0,30,4114
1,Australian Grand Prix,TSU,5,winner,,0.030000000000000002,0.030000000000000002,0,4,310
1,Australian Grand Prix,VER,3,winner,0.19319454414931797,0.27983522142121525,0.26311677517661725,0,204,7219
2,Chinese Grand Prix,HAD,7,winner,0.03,,0.03,0,1,49
2,Chinese Grand Prix,HAM,5,winner,0.08448156396931453,0.0896167008898015,0.08584514721919301,1,70,5502
2,Chinese Grand Prix,LEC,6,winner,0.08343065693430657,0.05710659898477157,0.07755102040816327,0,26,882
2,Chinese Grand Prix,NOR,3,winner,0.4131283422459893,0.3852566861358746,0.4001630201630202,0,192,6993
2,Chinese Grand Prix,PIA,1,winner,0.3836277298586897,0.5801773425092642,0.4126636427621803,0,657,25574
2,Chinese Grand Prix,RUS,2,winner,0.06337281795511221,0.0736637589214909,0.06790226876090749,0,156,2865
2,Chinese Grand Prix,SAI,12,winner,0.03,,0.03,0,1,93
2,Chinese Grand Prix,TSU,9,winner,0.03,0.03,0.029999999999999995,0,3,229
2,Chinese Grand Prix,VER,4,winner,0.14806226956165505,0.0984469170143718,0.13285836056257994,0,94,7039
3,Japanese Grand Prix,ALB,9,winner,0.020000000000000004,0.03,0.02722222222222222,0,4,54
3,Japanese Grand Prix,ALO,13,winner,,0.01,0.01,0,1,5
3,Japanese Grand Prix,ANT,6,winner,0.04033333333333334,0.055351089588377735,0.051349911190053284,1,12,563
3,Japanese Grand Prix,HAD,7,winner,0.02,,0.02,0,1,93
3,Japanese Grand Prix,HAM,8,winner,0.05960210803689064,0.10717325227963527,0.07185090980238701,0,34,5111
3,Japanese Grand Prix,LAW,14,winner,,0.06,0.06,0,1,100
