event,event_name,driver,qual_pos,finish_pos,won,podium,pole,avg_race_pos,win_rate,podium_rate,track_type_street,race_pre_weekend_vwap,race_pre_weekend_last,race_pre_weekend_n,race_friday_vwap,race_friday_last,race_friday_n,race_saturday_vwap,race_saturday_last,race_saturday_n,race_race_day_vwap,race_race_day_last,race_race_day_n,pod_pre_weekend_vwap,pod_pre_weekend_last,pod_pre_weekend_n,pod_friday_vwap,pod_friday_last,pod_friday_n,pod_saturday_vwap,pod_saturday_last,pod_saturday_n,pod_race_day_vwap,pod_race_day_last,pod_race_day_n
AGP25,Australian Grand Prix,ALB,6.0,8.0,0,0,0,11.1,0.0,0.1111111111111111,1,,,0,,,0,,,0,0.03,0.03,1,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,ALO,12.0,17.0,0,0,0,7.6,0.027027027027027,0.1756756756756756,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,ANT,16.0,9.0,0,0,0,10.0,0.0,0.0,1,,,0,,,0,,,0,0.02,0.02,1,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,BEA,,16.0,0,0,0,5.0,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,BOR,15.0,5.0,0,0,0,10.0,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,DOO,13.0,,0,0,0,10.0,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,GAS,10.0,10.0,0,0,0,12.0,0.0267857142857142,0.0714285714285714,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,HAD,11.0,,0,0,0,10.0,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,HAM,8.0,7.0,0,0,0,7.5,0.2252252252252252,0.5315315315315315,1,,,0,0.08,0.08,1,0.06583333333333333,0.08,12,0.08,0.1,8,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,HUL,17.0,12.0,0,0,0,13.9,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,LAW,18.0,2.0,0,1,0,13.2,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,LEC,7.0,13.0,0,0,0,4.7,0.0803571428571428,0.2321428571428571,1,,,0,0.235,0.24,4,0.1392857142857143,0.02,14,0.06357142857142857,0.01,14,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,NOR,1.0,1.0,1,1,1,7.2,0.0535714285714285,0.1428571428571428,1,,,0,0.36,0.38,5,0.39322580645161287,0.43,31,0.59,0.99,124,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,OCO,19.0,15.0,0,0,0,14.8,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,PIA,2.0,4.0,0,0,0,6.1,0.1,0.1333333333333333,1,,,0,0.18333333333333332,0.18,3,0.21899999999999997,0.23,20,0.20744186046511628,0.04,43,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,RUS,4.0,11.0,0,0,0,7.5,0.0625,0.125,1,,,0,,,0,0.07875,0.08,8,0.02857142857142857,0.01,14,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,SAI,9.0,,0,0,0,6.9,0.0267857142857142,0.1607142857142857,1,,,0,0.02,0.02,3,0.06055555555555556,0.04,18,0.014444444444444444,0.01,9,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,STR,14.0,14.0,0,0,0,10.8,0.0,0.027027027027027,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,TSU,5.0,6.0,0,0,0,14.0,0.0135135135135135,0.0405405405405405,1,,,0,,,0,0.03,0.03,3,0.03,0.03,1,,,0,,,0,,,0,,,0
AGP25,Australian Grand Prix,VER,3.0,3.0,0,1,0,4.8,0.2589285714285714,0.5714285714285714,1,,,0,0.18571428571428572,0.18,7,0.29735849056603775,0.31,53,0.281875,0.01,144,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,ALB,10.0,14.0,0,0,0,11.0,0.0,0.1098901098901098,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,ALO,14.0,20.0,0,0,0,8.5,0.0266666666666666,0.1733333333333333,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,ANT,8.0,12.0,0,0,0,9.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,BEA,17.0,15.0,0,0,0,10.5,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,BOR,19.0,9.0,0,0,0,5.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,DOO,18.0,16.0,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,GAS,16.0,17.0,0,0,0,11.9,0.0265486725663716,0.0707964601769911,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,HAD,7.0,7.0,0,0,0,10.0,0.0,0.0,0,,,0,,,0,,,0,0.03,0.03,1,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,HAM,5.0,1.0,1,1,0,7.8,0.2232142857142857,0.5267857142857143,0,0.034,0.04,5,0.11461538461538462,0.14,13,0.16297297297297297,0.08,37,0.09666666666666666,0.01,15,,,0,,,0,,,0,,,0
CGP25,Chinese Grand Prix,HUL,13.0,19.0,0,0,0,13.7,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
