event,event_name,driver,qual_pos,finish_pos,fp1_pos,fp2_pos,fp3_pos,won,podium,pole,avg_race_pos,avg_qual_pos,win_rate,podium_rate,pole_rate,n_races,track_type_street,track_speed_high,track_overtaking_high,race_price_early,race_price_late,race_price_all,race_n_trades,pod_price_early,pod_price_late,pod_price_all,pod_n_trades,pole_price_early,pole_price_late,pole_n_trades
AGP25,Australian Grand Prix,ALB,6.0,8.0,6.0,11.0,7.0,0,0,0,11.1,12.1,0.0,0.1111111111111111,0.0111111111111111,90,1,0,0,0.03,0.03,0.03,1,,,,0,,,0
AGP25,Australian Grand Prix,ALO,12.0,17.0,8.0,13.0,17.0,0,0,0,7.6,9.5,0.027027027027027,0.1756756756756756,0.0,74,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,ANT,16.0,9.0,14.0,16.0,5.0,0,0,0,10.0,10.0,0.0,0.0,0.0,0,1,0,0,0.02,0.02,0.02,1,,,,0,,,0
AGP25,Australian Grand Prix,BEA,,16.0,20.0,,,0,0,0,5.0,11.0,0.0,0.0,0.0,4,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,BOR,15.0,5.0,15.0,18.0,11.0,0,0,0,10.0,10.0,0.0,0.0,0.0,0,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,DOO,13.0,,13.0,14.0,15.0,0,0,0,10.0,10.0,0.0,0.0,0.0,4,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,GAS,10.0,10.0,17.0,15.0,12.0,0,0,0,12.0,13.2,0.0267857142857142,0.0714285714285714,0.0,112,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,HAD,11.0,,9.0,6.0,13.0,0,0,0,10.0,10.0,0.0,0.0,0.0,2,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,HAM,8.0,7.0,12.0,5.0,8.0,0,0,0,7.5,9.9,0.2252252252252252,0.5315315315315315,0.2162162162162162,111,1,0,0,0.08,0.06,0.07148148148148148,27,,,,0,,,0
AGP25,Australian Grand Prix,HUL,17.0,12.0,18.0,8.0,16.0,0,0,0,13.9,11.7,0.0,0.0,0.0,56,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,LAW,18.0,2.0,16.0,17.0,19.0,0,1,0,13.2,14.4,0.0,0.0,0.0,8,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,LEC,7.0,13.0,3.0,1.0,4.0,0,0,0,4.7,3.1,0.0803571428571428,0.2321428571428571,0.1964285714285714,112,1,0,0,0.06625,0.24375,0.11470588235294117,34,,,,0,,,0
AGP25,Australian Grand Prix,NOR,1.0,1.0,1.0,3.0,10.0,1,1,1,7.2,5.8,0.0535714285714285,0.1428571428571428,0.0267857142857142,112,1,0,0,0.6782978723404256,0.38872340425531915,0.5367021276595745,188,,,,0,,,0
AGP25,Australian Grand Prix,OCO,19.0,15.0,19.0,19.0,18.0,0,0,0,14.8,14.6,0.0,0.0,0.0,91,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,PIA,2.0,4.0,4.0,2.0,1.0,0,0,0,6.1,6.2,0.1,0.1333333333333333,0.0,30,1,0,0,0.20411764705882351,0.21,0.212,70,,,,0,,,0
AGP25,Australian Grand Prix,RUS,4.0,11.0,7.0,10.0,2.0,0,0,0,7.5,6.4,0.0625,0.125,0.0089285714285714,112,1,0,0,0.012857142857142859,0.07857142857142857,0.04642857142857143,28,,,,0,,,0
AGP25,Australian Grand Prix,SAI,9.0,,2.0,12.0,6.0,0,0,0,6.9,5.2,0.0267857142857142,0.1607142857142857,0.0446428571428571,112,1,0,0,0.012857142857142859,0.04,0.042666666666666665,30,,,,0,,,0
AGP25,Australian Grand Prix,STR,14.0,14.0,10.0,9.0,14.0,0,0,0,10.8,12.1,0.0,0.027027027027027,0.009009009009009,111,1,0,0,,,,0,,,,0,,,0
AGP25,Australian Grand Prix,TSU,5.0,6.0,11.0,4.0,9.0,0,0,0,14.0,11.4,0.0135135135135135,0.0405405405405405,0.0,74,1,0,0,0.03,0.03,0.028333333333333335,6,,,,0,,,0
AGP25,Australian Grand Prix,VER,3.0,3.0,5.0,7.0,3.0,0,1,0,4.8,1.8,0.2589285714285714,0.5714285714285714,0.3482142857142857,112,1,0,0,0.18928571428571428,0.2883928571428572,0.2923788546255507,227,,,,0,,,0
CGP25,Chinese Grand Prix,ALB,10.0,14.0,7.0,,,0,0,0,11.0,12.1,0.0,0.1098901098901098,0.0109890109890109,91,0,0,0,,,,0,,,,0,,,0
CGP25,Chinese Grand Prix,ALO,14.0,20.0,8.0,,,0,0,0,8.5,9.7,0.0266666666666666,0.1733333333333333,0.0,75,0,0,0,,,,0,,,,0,,,0
CGP25,Chinese Grand Prix,ANT,8.0,12.0,9.0,,,0,0,0,9.0,16.0,0.0,0.0,0.0,1,0,0,0,,,,0,,,,0,,,0
CGP25,Chinese Grand Prix,BEA,17.0,15.0,11.0,,,0,0,0,10.5,11.0,0.0,0.0,0.0,5,0,0,0,,,,0,,,,0,,,0
CGP25,Chinese Grand Prix,BOR,19.0,9.0,19.0,,,0,0,0,5.0,15.0,0.0,0.0,0.0,1,0,0,0,,,,0,,,,0,,,0
CGP25,Chinese Grand Prix,DOO,18.0,16.0,20.0,,,0,0,0,10.0,13.0,0.0,0.0,0.0,5,0,0,0,,,,0,,,,0,,,0
CGP25,Chinese Grand Prix,GAS,16.0,17.0,14.0,,,0,0,0,11.9,13.7,0.0265486725663716,0.0707964601769911,0.0,113,0,0,0,,,,0,,,,0,,,0
CGP25,Chinese Grand Prix,HAD,7.0,7.0,17.0,,,0,0,0,10.0,11.0,0.0,0.0,0.0,3,0,0,0,0.03,0.03,0.03,1,,,,0,,,0
