event,round,race_name,driver,market,vwap_yes,vwap_no,n_trades,volume,price_min,price_max,price_std,grid_pos,gap_to_pole,team,finish_pos,status,is_fastest_lap,outcome,base_win,base_pod,base_rate,edge_yes,edge_no,teammate_grid_delta,is_street,high_overtaking,low_overtaking
ABUDGP25,24,Abu Dhabi Grand Prix,ALB,podium,1.0,99.0,2,560,1.0,1.0,0.0,17,1.2090000000000032,Williams,16,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,5.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,ALB,winner,1.0,99.0,4,421,1.0,1.0,0.0,17,1.2090000000000032,Williams,16,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,5.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,ALO,podium,0.0531,0.9469,27,4016,0.02,0.09,0.0243,6,0.6950000000000074,Aston Martin,6,Finished,0.0,0,0.0,0.08695652173913043,0.08695652173913043,0.03385652173913043,-0.03385652173913034,-9.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,ALO,winner,1.0,99.0,11,6889,1.0,1.0,0.0,6,0.6950000000000074,Aston Martin,6,Finished,0.0,0,0.0,0.08695652173913043,0.0,-1.0,-98.0,-9.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,ANT,podium,0.0201,0.989,34,10935,0.02,1.0,0.1681,14,0.8730000000000047,Mercedes,15,Finished,0.0,0,0.0,0.043478260869565216,0.043478260869565216,0.023378260869565216,-0.03247826086956518,10.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,ANT,winner,1.0,99.0,7,849,1.0,1.0,0.0,14,0.8730000000000047,Mercedes,15,Finished,0.0,0,0.0,0.043478260869565216,0.0,-1.0,-98.0,10.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,BEA,podium,1.0,99.0,10,900,1.0,1.0,0.0,11,0.8340000000000032,Haas F1 Team,12,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,3.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,BEA,winner,1.0,99.0,1,6,1.0,1.0,0.0,11,0.8340000000000032,Haas F1 Team,12,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,3.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,BOR,podium,0.03,0.97,12,2784,0.03,0.03,0.0,7,0.6970000000000027,Kick Sauber,11,Finished,0.0,0,0.0,0.043478260869565216,0.043478260869565216,0.013478260869565217,-0.013478260869565162,-11.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,BOR,winner,1.0,99.0,1,9,1.0,1.0,0.0,7,0.6970000000000027,Kick Sauber,11,Finished,0.0,0,0.0,0.043478260869565216,0.0,-1.0,-98.0,-11.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,COL,winner,1.0,99.0,3,181,1.0,1.0,0.0,20,1.683000000000007,Alpine,20,Lapped,0.0,0,0.0,0.16666666666666666,0.0,-1.0,-98.0,1.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,GAS,winner,1.0,99.0,1,18,1.0,1.0,0.0,19,1.26100000000001,Alpine,19,Lapped,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-1.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,HAD,podium,0.1194,10.7177,16,5032,0.02,1.0,0.2422,9,0.8650000000000091,Racing Bulls,17,Lapped,0.0,0,0.0,0.0,0.0,-0.1194,-9.7177,-4.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,HAD,winner,1.0,99.0,1,140,1.0,1.0,0.0,9,0.8650000000000091,Racing Bulls,17,Lapped,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-4.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,HAM,podium,0.0405,3.0328,10,1910,0.02,1.0,0.3099,16,1.1870000000000118,Ferrari,8,Finished,0.0,0,0.0,0.0,0.0,-0.0405,-2.0328,11.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,HAM,winner,1.0,99.0,16,4884,1.0,1.0,0.0,16,1.1870000000000118,Ferrari,8,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,11.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,HUL,podium,1.0,99.0,2,2824,1.0,1.0,0.0,18,1.2430000000000092,Kick Sauber,9,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,11.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,HUL,winner,1.0,99.0,2,102,1.0,1.0,0.0,18,1.2430000000000092,Kick Sauber,9,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,11.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,LAW,winner,1.0,99.0,2,15,1.0,1.0,0.0,13,0.8700000000000045,Racing Bulls,18,Lapped,0.0,0,0.0,0.0,0.0,-1.0,-98.0,4.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,LEC,podium,0.1393,0.8607,148,23357,0.09,0.15,0.0122,5,0.5230000000000103,Ferrari,4,Finished,1.0,0,0.0,0.08695652173913043,0.08695652173913043,-0.052343478260869575,0.0523434782608696,-11.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,LEC,winner,0.9783,96.825,42,19108,0.02,1.0,0.2554,5,0.5230000000000103,Ferrari,4,Finished,1.0,0,0.0,0.08695652173913043,0.0,-0.9783,-95.825,-11.0,0,0,0
ABUDGP25,24,Abu Dhabi Grand Prix,NOR,podium,0.751,0.249,276,60494,0.7,0.83,0.0232,2,0.20100000000000762,McLaren,3,Finished,0.0,1,0.34782608695652173,0.6521739130434783,0.6521739130434783,-0.09882608695652173,0.09882608695652173,-1.0,0,0,0
