round,driver,market,vwap_yes,vwap_no,n_trades,volume,price_std,grid_pos,team,finish_pos,outcome,base_rate,edge_yes,edge_no
1,HAM,winner,0.06951201478743069,0.9304879852125694,21,2705,0.019309509130403673,8,Ferrari,10,0,0.008,-0.06151201478743069,0.061512014787430624
1,LEC,winner,0.06358801498127342,0.9364119850187265,19,1335,0.01747178176073456,7,Ferrari,8,0,0.008,-0.05558801498127342,0.055588014981273526
1,NOR,winner,0.4124313222079589,0.587568677792041,58,3895,0.025634713495476406,1,McLaren,1,1,0.496,0.08356867779204108,-0.08356867779204102
1,PIA,winner,0.2229292168674699,0.7770707831325302,24,1328,0.028691260094270893,2,McLaren,9,0,0.24,0.017070783132530104,-0.017070783132530187
1,RUS,winner,0.07458923512747874,0.9254107648725212,9,353,0.010137937550497033,4,Mercedes,3,0,0.04,-0.03458923512747874,0.0345892351274788
1,SAI,winner,0.2118840579710145,17.43159420289855,14,690,0.3508106780987886,10,Williams,18,0,0.024,-0.1878840579710145,-16.455594202898553
1,TSU,winner,0.02968051118210863,0.9703194888178915,5,313,0.004472135954999579,5,Racing Bulls,12,0,0.016,-0.01368051118210863,0.013680511182108446
1,VER,winner,0.31592898224556143,0.6840710177544387,115,3999,0.020521425613967373,3,Red Bull Racing,2,0,0.12,-0.19592898224556143,0.19592898224556132
2,HAD,winner,0.03,0.97,1,49,0.0,7,Racing Bulls,11,0,0.008,-0.022,0.02200000000000002
2,HAM,winner,0.1163464566929134,2.806488188976378,30,1905,0.23413425758464448,5,Ferrari,19,0,0.016,-0.1003464566929134,-1.822488188976378
2,LEC,winner,0.2295614035087719,17.70464912280702,11,228,0.4350653033532072,6,Ferrari,18,0,0.032,-0.1975614035087719,-16.73664912280702
2,NOR,winner,0.39226811700720277,0.6077318829927973,177,6803,0.06948717055767158,3,McLaren,2,0,0.12,-0.27226811700720277,0.27226811700720266
2,PIA,winner,0.4037916816780754,0.5962083183219247,692,24981,0.11297497690680008,1,McLaren,1,1,0.496,0.09220831832192461,-0.09220831832192466
2,RUS,winner,0.09290262172284645,0.9070973782771535,27,1068,0.02939562151243896,2,Mercedes,3,0,0.24,0.14709737827715352,-0.14709737827715352
2,TSU,winner,0.03,0.97,2,205,0.0,9,Racing Bulls,16,0,0.008,-0.022,0.02200000000000002
2,VER,winner,0.11297600816743236,0.8870239918325675,50,3918,0.04665505200459025,4,Red Bull Racing,4,0,0.04,-0.07297600816743235,0.07297600816743244
3,ALB,podium,0.03,0.97,2,39,0.0,9,Williams,9,0,0.016,-0.013999999999999999,0.014000000000000012
3,ANT,podium,0.09130434782608696,0.9086956521739131,2,23,0.014142135623730954,6,Mercedes,6,0,0.12,0.02869565217391304,-0.028695652173913122
3,HAM,podium,0.17589743589743595,0.8241025641025641,4,741,0.029999999999999995,8,Ferrari,7,0,0.024,-0.15189743589743596,0.15189743589743587
3,HAM,winner,0.03171220400728598,0.968287795992714,5,3294,0.008944271909999161,8,Ferrari,7,0,0.008,-0.023712204007285978,0.02371220400728602
3,LEC,podium,0.3290566037735849,0.6709433962264152,4,212,0.0050000000000000044,4,Ferrari,4,0,0.352,0.022943396226415058,-0.02294339622641517
3,LEC,winner,0.04530701754385965,0.9546929824561403,6,684,0.004082482904638631,4,Ferrari,4,0,0.04,-0.005307017543859649,0.005307017543859649
3,NOR,podium,0.7968468468468469,0.20315315315315316,5,222,0.029495762407505215,2,McLaren,2,1,0.72,-0.07684684684684695,0.07684684684684687
3,NOR,winner,0.4190127289661596,0.5809872710338403,47,3221,0.016471880560934484,2,McLaren,2,0,0.24,-0.1790127289661596,0.17901272896615972
3,PIA,podium,0.6776190476190476,0.32238095238095243,6,189,0.03098386676965931,3,McLaren,3,1,0.536,-0.14161904761904753,0.14161904761904753
3,PIA,winner,0.21558677685950414,0.784413223140496,18,605,0.01649915822768611,3,McLaren,3,0,0.12,-0.09558677685950415,0.09558677685950401
3,RUS,podium,0.4234375,0.5765625,15,416,0.11757469763435294,5,Mercedes,5,0,0.192,-0.23143750000000002,0.23143750000000007
3,RUS,winner,0.05694922366764583,1.4415820394460763,9,2383,0.3163463292026636,5,Mercedes,5,0,0.016,-0.04094922366764583,-0.45758203944607634
3,SAI,podium,1.0,99.0,1,10,0.0,12,Williams,14,0,0.008,-0.992,-98.008
3,TSU,podium,0.04839735099337748,0.9516026490066226,6,755,0.01211060141638997,15,Red Bull Racing,12,0,0.008,-0.04039735099337748,0.04039735099337738
3,TSU,winner,0.2518367346938776,20.952244897959186,2,98,0.6646803743153546,15,Red Bull Racing,12,0,0.0,-0.2518367346938776,-19.952244897959186
3,VER,podium,0.7485840707964602,0.25141592920353983,17,904,0.020757705868934006,1,Red Bull Racing,1,1,0.8,0.05141592920353988,-0.05141592920353988
3,VER,winner,0.32363804147215286,0.6763619585278473,87,9211,0.013527719618449414,1,Red Bull Racing,1,1,0.496,0.17236195852784714,-0.1723619585278473
4,ALB,winner,0.02,0.9800000000000001,2,10,0.0,15,Williams,12,0,0.0,-0.02,0.019999999999999907
4,ANT,podium,0.18079734219269103,0.8192026578073089,8,301,0.014142135623730954,4,Mercedes,11,0,0.352,0.17120265780730895,-0.17120265780730892
4,ANT,winner,0.061692073170731714,4.937545731707317,8,1312,0.3445804902859625,4,Mercedes,11,0,0.04,-0.021692073170731713,-3.977545731707317
4,GAS,podium,0.0672822299651568,0.9327177700348432,7,287,0.006900655593423545,5,Alpine,7,0,0.192,0.1247177700348432,-0.12471777003484319
4,GAS,winner,0.02,0.9799999999999999,4,351,0.0,5,Alpine,7,0,0.016,-0.004,0.004000000000000115
4,HAM,podium,0.0643956043956044,0.9356043956043956,5,182,0.005477225575051666,9,Ferrari,5,0,0.016,-0.048395604395604405,0.04839560439560442
4,HAM,winner,0.02,0.98,4,274,0.0,9,Ferrari,5,0,0.008,-0.012,0.01200000000000001
4,LEC,podium,0.41365217391304354,0.5863478260869563,20,575,0.12062992558800831,3,Ferrari,4,0,0.536,0.12234782608695649,-0.12234782608695638
4,LEC,winner,0.06984379693601683,0.9301562030639832,66,9987,0.01813700771767628,3,Ferrari,4,0,0.12,0.05015620306398316,-0.05015620306398316
4,NOR,podium,0.5892785793562709,0.4107214206437292,9,901,0.07043515536371811,6,McLaren,3,1,0.12,-0.46927857935627093,0.4692785793562708
